 ,snm_1,snm_2,snm_3,snm_4,snm_5,snm_6,snm_7
RF02913#URS0000D66AA1_12908/1-115#subopt0,  7.15519,-0.528657, -2.57507, -1.52909,-0.946902,  -1.7784, 0.662789
RF02913#URS0000D66AA1_12908/1-115#subopt1, 6.48799,0.213629,-2.03939,-1.74442,-0.99869,-1.56488, 1.53995
RF02913#URS0000D66AA1_12908/1-115#subopt2,  6.94531,-0.197995, -1.87561, -1.73291,-0.466231, -1.62426, 0.475235
RF02913#URS0000D66AA1_12908/1-115#subopt3,   6.92531,-0.0854538,  -2.02218,  -2.18266, -0.670191,  -1.88629,  0.983175
RF02913#HF991811.1/50598-50499#subopt0,  5.18981, 0.809604, -2.54568, 0.812128, -1.80965,-0.705147,  1.90518
RF02913#HF991811.1/50598-50499#subopt1,   5.9199, 0.372808,  -2.5005,-0.291726, -1.03899, -0.77749,  1.38901
RF02913#HF991811.1/50598-50499#subopt2,  5.59794, 0.372173, -2.87286,  0.88352, -1.91289,-0.256221,   2.0966
RF02913#HF991811.1/50598-50499#subopt3,     6.325,-0.0737291,  -2.93938, -0.178032,  -1.12221,  -0.49174,   1.49506
RF02913#URS0000D6CFA0_12908/1-100#subopt0,   5.75983, -0.520138,0.00199815,   2.05877,  -0.94354,  -1.69885,  0.882877
RF02913#URS0000D6CFA0_12908/1-100#subopt1,  5.18981, 0.809604, -2.54567, 0.812128, -1.80965,-0.705146,  1.90518
RF02913#URS0000D6CFA0_12908/1-100#subopt2,   5.9199, 0.372808,  -2.5005,-0.291725, -1.03899,-0.777491,  1.38901
RF02913#URS0000D6CFA0_12908/1-100#subopt3,  5.59794, 0.372172, -2.87286, 0.883519, -1.91289,-0.256221,  2.09659
RF02914#URS0000D68A3E_12908/1-36#subopt0,  2.67154,  2.06572,-0.283227, 0.166981,-0.676399,-0.266195,-0.591511
RF02914#URS0000D68A3E_12908/1-36#subopt1,   1.3684, 0.803443, 0.163808, 0.368148, 0.718248,-0.173497, 0.382452
RF02914#URS0000D676FA_12908/1-35#subopt0,  1.35388, 0.758317,-0.143634,0.0451692, 0.108335,-0.729623,  0.33694
RF02914#URS0000D676FA_12908/1-35#subopt1,  2.55383,  0.19046,-0.632392, 0.438685,0.0283906,  -1.3578,  0.21463
RF02914#URS0000D676FA_12908/1-35#subopt2,  2.45708,0.0864878,-0.972928, 0.658961, 0.411043,-0.919928, 0.142459
RF02914#URS0000D676FA_12908/1-35#subopt3,  1.42422, 0.813424,   0.1259, 0.607234, 0.773778,-0.459166,-0.471548
RF02914#URS0000D67F50_12908/1-35#subopt0,  1.35388, 0.758316,-0.143634,0.0451687, 0.108335,-0.729622,  0.33694
RF02914#URS0000D67F50_12908/1-35#subopt1,    2.602, 0.105067,-0.823151,  0.55845, 0.161168, -1.00599,0.0543971
RF02914#URS0000D67F50_12908/1-35#subopt2,  2.55383,  0.19046,-0.632392, 0.438685,0.0283896,  -1.3578, 0.214631
RF02914#URS0000D67F50_12908/1-35#subopt3,  2.45708,0.0864881,-0.972928, 0.658961, 0.411043,-0.919928, 0.142458
RF02924#URS0000D691F7_12908/1-83#subopt0,  3.38048,  1.74416,  1.47738,   1.3926, 0.725069,-0.477676,  0.11514
RF02924#URS0000D691F7_12908/1-83#subopt1,   4.07681,   1.49302,   1.86206,  0.162113,   1.04407, 0.0125001,-0.0795069
RF02924#URS0000D691F7_12908/1-83#subopt2,  3.36546,   1.7822,  1.53793,  1.48763, 0.630017,-0.578421,-0.114793
RF02924#URS0000D691F7_12908/1-83#subopt3,  3.43718,  1.78579,  1.55836,  1.49859,  1.03176,-0.358497, 0.540025
RF02924#LBBT01000108.1/25002-25086#subopt0,  4.37244, 0.613315,  1.25576,  1.98042,   0.3356,-0.429447,  0.25381
RF02924#LBBT01000108.1/25002-25086#subopt1,   4.5711,  1.39097, 0.338587, 0.514915, 0.812337, 0.146015,-0.282079
RF02924#LBBT01000108.1/25002-25086#subopt2,  3.98249,  1.84529, -0.13142,  1.59677, 0.197774,-0.354331, -0.45626
RF02924#LBBT01000108.1/25002-25086#subopt3,   4.45675,   1.02098,  -0.38858,   2.06237,-0.0126387,   0.48524, -0.933472
RF02924#URS0000D6722E_997827/1-84#subopt0,  3.30416,  1.69419,  1.58741,  1.64829, 0.365088,-0.468847,-0.862284
RF02924#URS0000D6722E_997827/1-84#subopt1,   4.14963,   1.47658,   1.92755,-0.0230386,   0.54836, -0.139229, -0.599564
RF02924#URS0000D6722E_997827/1-84#subopt2,  3.43829,  1.76575,  1.60342,  1.30248, 0.134313,-0.730148, -0.63485
RF02924#URS0000D6722E_997827/1-84#subopt3, 4.40674,0.849731, 0.36142, 1.49354,-0.21769,-0.34464,0.149333
RF03064#URS0000D6985E_12908/1-73#subopt0,  4.58664,-0.779243,0.0461908,-0.784692,  1.95189, -1.79213, -1.13352
RF03064#URS0000D6985E_12908/1-73#subopt1,  5.17973, -1.42065,-0.589369,-0.662171,  1.79484, -1.30237,-0.825489
RF03064#URS0000D6985E_12908/1-73#subopt2,  5.09991, -1.06832,0.0495814, -1.43604,  2.09181, -1.87762, -1.33196
RF03064#URS0000D6985E_12908/1-73#subopt3,  5.07167,  -1.0496,-0.232104, -1.36296,  1.70198, -1.67861, -0.79295
RF03064#URS0000D69A75_12908/1-73#subopt0,  4.58664,-0.779243,0.0461909,-0.784692,  1.95189, -1.79212, -1.13352
RF03064#URS0000D69A75_12908/1-73#subopt1,  5.17973, -1.42065,-0.589369,-0.662171,  1.79484, -1.30238, -0.82549
RF03064#URS0000D69A75_12908/1-73#subopt2,   4.5869,-0.807035, 0.219805,-0.435066,  2.12096, -1.30989, -1.02483
RF03064#URS0000D69A75_12908/1-73#subopt3,  4.52296,-0.811988,0.0947351,-0.917841,  1.81377, -1.53705,-0.665079
RF03064#URS0000D6BAF7_515619/1-73#subopt0,  4.58664,-0.779243,0.0461908,-0.784692,  1.95189, -1.79212, -1.13352
RF03064#URS0000D6BAF7_515619/1-73#subopt1,  5.17973, -1.42065,-0.589369,-0.662171,  1.79484, -1.30238, -0.82549
RF03064#URS0000D6BAF7_515619/1-73#subopt2,  4.52296,-0.811988, 0.094735,-0.917841,  1.81377, -1.53705, -0.66508
RF02440#GG695971.1/126178-126123#subopt0,  3.13868,  1.40026,   1.5399, 0.961153,-0.476828, -1.77344, -0.21408
RF02440#GG695971.1/126178-126123#subopt1,   3.16337,   1.45496,   1.46756,   0.82867, -0.412554,  -1.73671,-0.0818763
RF02440#GG695971.1/126178-126123#subopt2,  3.02409,  1.40287,  1.41696,  1.04576, -0.27567, -1.46596,-0.258246
RF02440#GG695971.1/126178-126123#subopt3,  3.07663,  1.36672,  1.51144, 0.628165,-0.553075, -1.38477, 0.652085
RF02440#LFZW01000001.1/2096884-2096831#subopt0,   3.16172,   1.48027,   1.44702,  0.831035, -0.425942,  -1.82675,-0.0974041
RF02440#LFZW01000001.1/2096884-2096831#subopt1,  3.15319,  1.29886,  1.69473,  1.15018,-0.307207, -1.79228,-0.506814
RF02440#LFZW01000001.1/2096884-2096831#subopt2,  3.04714,  1.48288,  1.32409, 0.915642,-0.224786, -1.51927, -0.14157
RF02440#LFZW01000001.1/2096884-2096831#subopt3, 3.09968, 1.44673, 1.41856,0.498044,-0.50219,-1.43808,0.768759
RF02440#AJLR01000146.1/149633-149688#subopt0,   3.14145,   1.61329,   1.38086,  0.906091, -0.373517,  -1.48798,-0.0876612
RF02440#AJLR01000146.1/149633-149688#subopt1,  3.13868,  1.40026,   1.5399, 0.961152,-0.476827, -1.77344, -0.21408
RF02440#AJLR01000146.1/149633-149688#subopt2,   3.16337,   1.45496,   1.46756,   0.82867, -0.412554,  -1.73671,-0.0818761
RF02440#AJLR01000146.1/149633-149688#subopt3,   2.96315,   1.60617,    1.2004,    1.0161,-0.0846975,  -1.11776, -0.106531
RF01695#CP001068.1/10238-10328#subopt0,   3.83553,  0.710905,   1.54499,  -1.07129,-0.0992362, -0.369384, -0.625375
RF01695#CP001068.1/10238-10328#subopt1,  3.79721, 0.657391,  1.38925,-0.957877, 0.277325,0.0636058,-0.842412
RF01695#CP001068.1/10238-10328#subopt2,  3.61317, 0.585583,   1.2192,  1.67825,-0.141834,-0.665714,-0.752729
RF01695#CP001068.1/10238-10328#subopt3,  3.40315, 0.437945, 0.589524,  1.26719, 0.109923,-0.309387,-0.806767
