 ,snm_1,snm_2,snm_3,snm_4,snm_5,snm_6,snm_7,snm_8
RF02913#URS0000D66AA1_12908/1-115#subopt0,  7.14823,-0.374999, -2.33382, -1.56525,-0.760894, -1.64552,-0.978904,-0.827347
RF02913#URS0000D66AA1_12908/1-115#subopt1,  6.46567,  0.40266, -1.87036, -1.73294,-0.751117, -1.39007, -2.03972,-0.681452
RF02913#URS0000D66AA1_12908/1-115#subopt2,   6.91986,-0.0323113,  -1.56133,   -1.8201, -0.377225,  -1.66413,  -1.24013,   0.27196
RF02913#HF991811.1/50598-50499#subopt0,   5.22265,  0.934843,  -2.65927,  0.790086,  -1.59473,  -0.42026,  -1.91633,-0.0901559
RF02913#HF991811.1/50598-50499#subopt1,  5.92495, 0.480817, -2.42339,-0.435188,-0.848463,-0.772965, -1.64253,0.0283886
RF02913#HF991811.1/50598-50499#subopt2,  5.64032, 0.517099, -3.08218, 0.873744, -1.77301,-0.046751, -1.92396, 0.100646
RF02913#URS0000D6CFA0_12908/1-100#subopt0,  5.77655,-0.594614,-0.149937,  2.27414,-0.892471, -1.50789, -1.33444,  1.01807
RF02913#URS0000D6CFA0_12908/1-100#subopt1,   5.22265,  0.934843,  -2.65927,  0.790088,  -1.59473, -0.420261,  -1.91633,-0.0901565
RF02913#URS0000D6CFA0_12908/1-100#subopt2,  5.92495, 0.480813, -2.42339,-0.435189,-0.848463,-0.772964, -1.64253,0.0283891
RF02913#URS0000D65DF1_12908/1-80#subopt0,  4.51422,    1.555, -1.03161,-0.504267,-0.604803, -0.50679, -1.86992,-0.923417
RF02913#URS0000D65DF1_12908/1-80#subopt1,  5.24121, 0.921412, -1.64696,-0.236473,-0.550709, -0.92762, -1.41634, -1.27124
RF02913#URS0000D65DF1_12908/1-80#subopt2,    5.144,  1.08501, -1.87945,-0.254334,-0.808228,-0.383293, -1.94185,-0.389256
RF02914#URS0000D68A3E_12908/1-36#subopt0,  2.66075,  2.14409,-0.121404, 0.140973, -0.69776,-0.491699, 0.236313, 0.555608
RF02914#URS0000D68A3E_12908/1-36#subopt1,  1.38537,   0.7496, 0.192461, 0.357992, 0.762992,0.0677685,-0.340875, 0.108635
RF02914#URS0000D676FA_12908/1-35#subopt0,  1.35743, 0.761394,-0.105021,  0.11071, 0.171271,-0.638943,-0.515989,0.0154394
RF02914#URS0000D676FA_12908/1-35#subopt1,  2.54703, 0.189845,-0.657292, 0.430567, 0.218197, -1.26465,-0.345874,-0.712481
RF02914#URS0000D676FA_12908/1-35#subopt2,    2.4677,  0.094061, -0.911037,  0.610287,  0.505171, -0.832357, -0.195105,-0.0130724
RF02914#URS0000D67F50_12908/1-35#subopt0,  1.35743, 0.761393, -0.10502,  0.11071, 0.171271,-0.638943,-0.515989,0.0154389
RF02914#URS0000D67F50_12908/1-35#subopt1,   2.60138,  0.114682, -0.763256,  0.513558,  0.318516, -0.973263,-0.0257174, -0.206679
RF02914#URS0000D67F50_12908/1-35#subopt2,  2.54704, 0.189847,-0.657293, 0.430567, 0.218196, -1.26465,-0.345874,-0.712481
RF02914#URS0000D65E22_12908/1-36#subopt0,  2.66075,  2.14409,-0.121405, 0.140974, -0.69776,-0.491699, 0.236313, 0.555607
RF02914#URS0000D65E22_12908/1-36#subopt1,  1.38537,   0.7496,  0.19246, 0.357993, 0.762992,0.0677688,-0.340875, 0.108635
RF02924#URS0000D691F7_12908/1-83#subopt0,   3.4027,  1.59155,  1.52472,   1.7018, 0.624037,-0.288644,-0.141107,-0.234519
RF02924#URS0000D691F7_12908/1-83#subopt1,  4.07205,  1.33778,  2.02247, 0.493122, 0.790585,-0.115813, 0.216246, 0.309635
RF02924#URS0000D691F7_12908/1-83#subopt2,     3.369,    1.6229,   1.63541,   1.83539,  0.494005, -0.534829, 0.0835098,-0.0255855
RF02924#LBBT01000108.1/25002-25086#subopt0,  4.36925, 0.528411,   1.1761,  2.18579, 0.278459,-0.335876,-0.488323, 0.636054
RF02924#LBBT01000108.1/25002-25086#subopt1,  4.57252,    1.249, 0.524614, 0.507665, 0.721389,0.0331237, 0.446514,-0.328846
RF02924#LBBT01000108.1/25002-25086#subopt2,   3.9934,  1.70818,0.0135979,  1.56738, 0.252001,-0.333871, 0.560642,-0.773261
RF02924#URS0000D6722E_997827/1-84#subopt0,  3.28949,  1.59962,  1.69469,  1.91051, 0.224365,-0.781148, 0.650516, 0.804256
RF02924#URS0000D6722E_997827/1-84#subopt1,  4.12562,  1.36531,  2.08686, 0.309133, 0.350079,-0.472319, 0.734463,0.0954531
RF02924#URS0000D6722E_997827/1-84#subopt2,  3.42256,  1.65044,  1.69979,   1.6514,0.0534991,-0.891333, 0.601727,-0.239769
RF02924#URS0000D6722E_525258/1-84#subopt0,  3.28949,  1.59962,  1.69469,  1.91051, 0.224366,-0.781148, 0.650516, 0.804256
RF02924#URS0000D6722E_525258/1-84#subopt1,  4.12562,  1.36531,  2.08686, 0.309132, 0.350079,-0.472319, 0.734463,0.0954526
RF02924#URS0000D6722E_525258/1-84#subopt2,  3.42256,  1.65043,  1.69979,   1.6514,0.0534987,-0.891333, 0.601726,-0.239769
RF03064#URS0000D6985E_12908/1-73#subopt0,   4.5566,-0.809527, 0.197954,-0.915558,  2.04601, -2.01949, 0.543404,-0.420398
RF03064#URS0000D6985E_12908/1-73#subopt1,  5.16408, -1.41167,-0.549033,-0.781953,  1.81393, -1.63249, 0.480028,-0.061214
RF03064#URS0000D6985E_12908/1-73#subopt2,  5.06599, -1.09951, 0.307572, -1.52073,  2.11695,  -2.1538, 0.676179,0.0931955
RF03064#URS0000D69A75_12908/1-73#subopt0,   4.5566,-0.809526, 0.197954,-0.915558,  2.04601, -2.01949, 0.543404,-0.420399
RF03064#URS0000D69A75_12908/1-73#subopt1,   5.16408,  -1.41167, -0.549033, -0.781953,   1.81393,  -1.63249,  0.480028,-0.0612134
RF03064#URS0000D69A75_12908/1-73#subopt2,  4.57822,-0.885108, 0.325987,-0.530922,  2.11795, -1.35883, 0.773182,-0.511975
RF03064#URS0000D6BAF7_515619/1-73#subopt0,   4.5566,-0.809526, 0.197955,-0.915558,  2.04601, -2.01949, 0.543404,-0.420398
RF03064#URS0000D6BAF7_515619/1-73#subopt1,   5.16408,  -1.41166, -0.549032, -0.781953,   1.81393,  -1.63249,  0.480028,-0.0612136
RF03064#URS0000D6BAF7_515619/1-73#subopt2,  4.50963, -0.88397, 0.198288, -1.12236,  1.97784, -1.59314, 0.135717,-0.511647
RF03064#URS0000D6BAF7_12908/1-73#subopt0,   4.5566,-0.809527, 0.197954,-0.915557,  2.04601, -2.01949, 0.543404,-0.420398
RF03064#URS0000D6BAF7_12908/1-73#subopt1,   5.16408,  -1.41167, -0.549033, -0.781953,   1.81393,  -1.63249,  0.480028,-0.0612135
RF03064#URS0000D6BAF7_12908/1-73#subopt2,  4.50963,-0.883969, 0.198289, -1.12236,  1.97784, -1.59314, 0.135717,-0.511646
RF02440#GG695971.1/126178-126123#subopt0,   3.10021,   1.27674,   1.60058,   1.37631, -0.330917,  -1.87883, -0.312181,-0.0182377
RF02440#GG695971.1/126178-126123#subopt1,  3.13506,  1.34995,  1.46956,  1.25749,-0.353148, -1.71284,-0.286177,-0.570025
RF02440#GG695971.1/126178-126123#subopt2,  2.99507,  1.29252,  1.49086,  1.40654,-0.179064, -1.58437,-0.234013, 0.204208
RF02440#LFZW01000001.1/2096884-2096831#subopt0,  3.13256,   1.3728,  1.45443,  1.26674, -0.33562, -1.80826,-0.304765,-0.513613
RF02440#LFZW01000001.1/2096884-2096831#subopt1,  3.11394,  1.17826,  1.72764,  1.51862,-0.266586, -1.96002,0.0437307, 0.074942
RF02440#LFZW01000001.1/2096884-2096831#subopt2,  3.02742,  1.38859,  1.34471,  1.29697,-0.183767, -1.51381,-0.226596,-0.291168
RF02440#AJLR01000146.1/149633-149688#subopt0,  3.12377,  1.51935,  1.37649,  1.29683,-0.348037, -1.47638,-0.387793,-0.112707
RF02440#AJLR01000146.1/149633-149688#subopt1,   3.10021,   1.27674,   1.60058,   1.37631, -0.330916,  -1.87883, -0.312182,-0.0182374
RF02440#AJLR01000146.1/149633-149688#subopt2,  3.13506,  1.34995,  1.46956,  1.25749,-0.353147, -1.71284,-0.286178,-0.570025
RF02440#MRTP01000001.1/119356-119302#subopt0,  3.09305,  1.17214,  1.62627,  1.38531,-0.420989, -1.47945,-0.300422, 0.222739
RF02440#MRTP01000001.1/119356-119302#subopt1,  3.11336,  1.28732,  1.50837,  1.25563,-0.391529, -1.32145,-0.338127, -0.36918
RF02440#MRTP01000001.1/119356-119302#subopt2,  2.92777,  1.18234,  1.45717,  1.43214,-0.199946, -1.10938,-0.261664, 0.537916
RF01695#CP001068.1/10238-10328#subopt0,   3.7853, 0.665508,  1.76463,-0.968767,-0.259775,-0.728203, 0.274587, 0.869471
RF01695#CP001068.1/10238-10328#subopt1,  3.75991, 0.603105,   1.6712,-0.895021,0.0707214,-0.363268,  0.79936,  1.13475
RF01695#CP001068.1/10238-10328#subopt2,  3.59319, 0.418817,  1.23593,  1.74676,-0.195866,  -0.8171, 0.402297,0.0968213
RF01695#CT573326.1/1493171-1493081#subopt0,    4.11753,   0.684765,-0.00689532,    1.14444, -0.0334231,    0.26244,   -0.88699,     1.2078
RF01695#CT573326.1/1493171-1493081#subopt1,  3.98852,  0.85243,-0.145852,  1.55022,  0.99668,  1.09862, -1.46709, 0.659705
RF01695#CT573326.1/1493171-1493081#subopt2,   4.0841, 0.718347, 0.183742,   1.5916,  0.42717, 0.775035,-0.663093,  1.15936
RF01695#CP001798.1/974535-974621#subopt0,  4.45226, 0.112154,  1.38032, 0.716821, 0.250014,-0.521031, 0.115791, 0.775337
RF01695#CP001798.1/974535-974621#subopt1,  4.18172, 0.268257, 0.902251, 0.405027, 0.935998,0.0749099,-0.229621, 0.273126
RF01695#CP001798.1/974535-974621#subopt2,   4.33807, -0.169353,-0.0800881,   1.63569,  0.327075, -0.606109,  0.671796,  0.631316
RF01695#CP003880.1/163031-162945#subopt0,  2.85708,  1.15199,   1.6728,  1.43026,0.0507888,-0.679296, -0.11113, 0.268291
RF01695#CP003880.1/163031-162945#subopt1,  4.39432,0.0283797,0.0435903,-0.360109,-0.566815, -1.12566,-0.400694,  1.20797
RF01695#CP003880.1/163031-162945#subopt2,    4.39013,-0.00304357,   0.280395, -0.0682028,   0.137966,  -0.131304,   0.243327,    1.46418
RF03161#URS0001A233B4_12908/1-63#subopt0,   2.9918,  1.26614,  1.13383,  0.98841,0.0466234,-0.293777, -1.49083,-0.443314
RF03161#URS0001A233B4_12908/1-63#subopt1,  2.96654,  1.32916,  1.05955,  1.09622, 0.347615,-0.432169, -1.78482,-0.638595
RF03161#URS0001A233B4_12908/1-63#subopt2,  3.73649,  1.03083,  1.47135,-0.344077, 0.488117,-0.378483, -1.86083,-0.549375
RF03161#CP018153.1/1620386-1620448#subopt0,  3.67279,  1.67602, -1.16632, 0.442073,-0.209406, 0.685252,-0.810626,-0.457183
RF03161#CP018153.1/1620386-1620448#subopt1,  3.56781,  2.12589, 0.357069, -1.14037, 0.377317, 0.610181,-0.683744,-0.018824
RF03161#CP018153.1/1620386-1620448#subopt2,   2.56488,   2.35182,-0.0579277,  0.420428,  0.113221,  0.262716,  0.385376, -0.309482
RF03161#URS0001A244B4_1121932/1-63#subopt0,  3.67279,  1.67602, -1.16632, 0.442073,-0.209406, 0.685252,-0.810626,-0.457182
RF03161#URS0001A244B4_1121932/1-63#subopt1,   3.56781,   2.12589,  0.357069,  -1.14037,  0.377317,  0.610181, -0.683744,-0.0188237
RF03161#URS0001A244B4_1121932/1-63#subopt2,  2.56488,  2.35182,-0.057927, 0.420428, 0.113221, 0.262715, 0.385376,-0.309482
RF03161#ARYN01000005.1/114590-114652#subopt0,  4.86721, 0.932334, -2.29449, 0.821759,-0.341387,  1.62534,-0.866741,-0.144714
RF03161#ARYN01000005.1/114590-114652#subopt1,  3.67279,  1.67602, -1.16632, 0.442073,-0.209406, 0.685252,-0.810626,-0.457182
RF03161#ARYN01000005.1/114590-114652#subopt2,  5.08607,  1.10629, -1.24912,-0.599029, 0.125432,  1.69338,-0.785959, 0.367916
RF01739#MRCG01000001.1/170915-170860#subopt0,  4.83809,  1.28804,0.0194402, 0.434426, 0.105621, 0.921942,-0.522335, 0.848637
RF01739#MRCG01000001.1/170915-170860#subopt1,   3.61558,   1.07664,   1.96964,   1.51057, -0.262578, -0.762497,-0.0743285,  0.538923
RF01739#MRCG01000001.1/170915-170860#subopt2,  3.54164,  1.29095,  1.79135,  1.32696,-0.307332, -0.31131,-0.342003, -0.26905
RF01739#CM001633.1/4650219-4650298#subopt0,    4.6288,  0.602843,  -1.88346,   1.04018,  -0.42972, -0.230834,   1.91062,-0.0454965
RF01739#CM001633.1/4650219-4650298#subopt1,   5.04933,-0.0478966,  0.262546,   1.93568, -0.557641,   -1.6973, -0.427125,  0.321071
RF01739#CM001633.1/4650219-4650298#subopt2,  3.86664, 0.653579, 0.301538,  1.47342,-0.373025, -1.05481, -1.07917,-0.344301
RF01739#ALVZ01000231.1/41142-41207#subopt0,   3.92156,  0.641417,-0.0182641,   1.36426, -0.969228, -0.579585, -0.966595,   1.01064
RF01739#ALVZ01000231.1/41142-41207#subopt1,  4.46814, 0.760525, 0.400391,  1.74217,-0.673845,0.0748512,-0.808044, 0.886438
RF01739#ALVZ01000231.1/41142-41207#subopt2,  3.92734, 0.675225, 0.127461,  1.67498,-0.362556, 0.024414,-0.801495,  1.07198
RF01739#JTHE01000274.1/3501797-3501863#subopt0,  5.02497, 0.683608, -1.85849,   1.0636,-0.920151,-0.968632,  1.21117, 0.420662
RF01739#JTHE01000274.1/3501797-3501863#subopt1,  5.39812, 0.238472, -2.17937,  1.00728,-0.848981,-0.713982,  1.22599,-0.623884
RF01739#JTHE01000274.1/3501797-3501863#subopt2,  5.45046, 0.182573,  -2.4095, 0.973046, -1.02787,-0.685621, 0.865833,-0.276339
RF03158#MKKD01000014.1/69493-69538#subopt0,    3.3014,-0.0853441,-0.0634095, -0.177236,   2.28495,  0.456741, -0.187808, -0.224664
RF03158#MKKD01000014.1/69493-69538#subopt1,  3.76436,-0.203787,0.0515466,  -1.1898,    2.348, 0.923285,-0.886361, 0.663369
RF03158#MKKD01000014.1/69493-69538#subopt2,  3.88626,-0.190627,0.0871384, -1.14022,  2.19037, 0.589966,-0.994171,  1.07768
RF03158#URS0001A237F1_12908/1-46#subopt0,    3.3014,-0.0853441,-0.0634094, -0.177236,   2.28495,  0.456741, -0.187808, -0.224664
RF03158#URS0001A237F1_12908/1-46#subopt1,  3.76436,-0.203788,0.0515468,  -1.1898,    2.348, 0.923284,-0.886361, 0.663369
RF03158#URS0001A237F1_12908/1-46#subopt2,  3.88626,-0.190627,0.0871388, -1.14022,  2.19037, 0.589966,-0.994171,  1.07768
RF03158#URS0001A23BF5_1206744/1-46#subopt0,    3.3014,-0.0853441,-0.0634095, -0.177236,   2.28495,  0.456741, -0.187808, -0.224664
RF03158#URS0001A23BF5_1206744/1-46#subopt1,  3.76436,-0.203788,0.0515465,  -1.1898,    2.348, 0.923284,-0.886361, 0.663369
RF03158#URS0001A23BF5_1206744/1-46#subopt2,  3.88626,-0.190627,0.0871386, -1.14022,  2.19037, 0.589966,-0.994172,  1.07768
RF03158#MKKY01000090.1/22688-22643#subopt0,    3.3014,-0.0853443,-0.0634095, -0.177236,   2.28495,  0.456741, -0.187808, -0.224664
RF03158#MKKY01000090.1/22688-22643#subopt1,  3.76436,-0.203787,0.0515467,  -1.1898,    2.348, 0.923284,-0.886361, 0.663369
RF03158#MKKY01000090.1/22688-22643#subopt2,  3.88626,-0.190627,0.0871386, -1.14022,  2.19037, 0.589966,-0.994171,  1.07768
RF03156#URS0001A2333F_12908/1-30#subopt0,   1.39455,  0.858982, 0.0322411,  0.481827,  0.941574, -0.049095,-0.0869994,-0.0840877
RF03156#URS0001A24418_12908/1-33#subopt0,   1.36404,   1.01637,-0.0780799,  0.397678,   0.53966, -0.105559, -0.102562,  0.378343
RF03156#URS0001A24A61_12908/1-30#subopt0,   1.39455,  0.858982, 0.0322415,  0.481827,  0.941573,-0.0490947,-0.0869995,-0.0840875
RF03156#URS0001A24750_12908/1-31#subopt0,   1.4164, 0.914372,0.0226182, 0.384802, 0.574878,0.0218158, 0.243094, 0.267703
RF03106#URS0000D69489_12908/1-147#subopt0,    7.58296,-0.00803734,   -1.16983,     2.1382,   -1.75694,  -0.908017,   0.699771,  -0.155663
RF03106#URS0000D69489_12908/1-147#subopt1,  8.33222,-0.474318, -0.99791, 0.708288, -1.48192,-0.963327, 0.598131, 0.492324
RF03106#URS0000D69489_12908/1-147#subopt2,  8.26087, 0.131031,-0.583069,-0.325156, -1.15918, -1.25939,  1.00905, 0.812042
RF03106#URS0000D673CA_12908/1-145#subopt0,  7.62068, -1.03298, -1.45229, 0.998181,-0.632349,0.0877056, 0.824456, 0.632956
RF03106#URS0000D673CA_12908/1-145#subopt1,   8.14941,  -1.31431,  -1.27233,-0.0141338, -0.469346,  0.164635,  0.727237,   1.14007
RF03106#URS0000D673CA_12908/1-145#subopt2,   6.93678,  0.138503,   -1.1715,  0.830527, -0.177101,-0.0766623,  0.384244, -0.421443
RF03106#URS0000D6A2A3_12908/1-133#subopt0,   7.63685,  -1.20549,   1.22101,  0.537938,  0.510529, -0.519575,-0.0380799,   1.06981
RF03106#URS0000D6A2A3_12908/1-133#subopt1,  8.04575, -1.36637,  1.17998,-0.287198,  1.11239,-0.486952, -1.01133, 0.504505
RF03106#URS0000D6A2A3_12908/1-133#subopt2,  7.74294, -1.23311,  1.20125, 0.413856, 0.631516,-0.496923,-0.596893, 0.593169
RF03157#URS0001A23AA2_1121878/1-50#subopt0,  4.37886,  1.62852,-0.404076,-0.440237, 0.669597, 0.770121, 0.634878,  1.32076
RF03157#URS0001A23AA2_1121878/1-50#subopt1,   4.91239,   1.46624,-0.0734641,  -1.15527,  0.594984,  0.711967,  0.852763,   1.31439
RF03157#URS0001A23AA2_1121878/1-50#subopt2,   4.37574,   1.54231, -0.663203,-0.0848616,  0.631653,  0.675006,  0.460482,   1.18294
RF03157#URS0001A23AA2_1121879/1-50#subopt0,  4.37886,  1.62852,-0.404076,-0.440236, 0.669597, 0.770121, 0.634878,  1.32076
RF03157#URS0001A23AA2_1121879/1-50#subopt1,   4.91239,   1.46624,-0.0734646,  -1.15527,  0.594984,  0.711967,  0.852763,   1.31439
RF03157#URS0001A23AA2_1121879/1-50#subopt2,   4.37574,   1.54231, -0.663203,-0.0848617,  0.631654,  0.675005,  0.460482,   1.18294
RF03157#URS0001A2345C_675816/1-50#subopt0,   4.45069,   1.72019,  -1.02731, -0.446874,  0.803443,  0.851195,-0.0393531,  0.606082
RF03157#URS0001A2345C_675816/1-50#subopt1,     4.437,   1.51996, -0.886233, -0.325568,   0.79749,  0.763686,-0.0413212,   1.11839
RF03157#URS0001A2345C_675816/1-50#subopt2,  4.39134,  1.82047,-0.540587,-0.561572, 0.675444, 0.852831, 0.679007,  0.85411
RF03157#CP002209.1/3979465-3979416#subopt0,   4.45069,   1.72019,  -1.02731, -0.446874,  0.803443,  0.851195,-0.0393531,  0.606081
