 ,snm_1,snm_2,snm_3,snm_4,snm_5,snm_6,snm_7,snm_8,snm_9,snm_10,snm_11,snm_12,snm_13,snm_14,snm_15,snm_16,snm_17,snm_18,snm_19,snm_20
URS0000D66AA1_12908/1-115_subopt0,   8.26683,  -1.82501,  -2.57008,   1.49822, -0.911195,  0.259752,-0.0760462,  0.622522,  0.395924,  -0.72106, -0.452722,   1.28076,   1.37961,  0.727339, -0.636076,  0.509342, -0.235259, -0.309247,   0.21594,  -1.21562
URS0000D66AA1_12908/1-115_subopt1,  8.40534, -2.04762, -2.32418,  1.86766, 0.138411, 0.489572,-0.472298,  1.04361, 0.123037,-0.762647,-0.900428,  1.68889,  1.06305, 0.706194, 0.560943, 0.262464,  0.29986,-0.705199, 0.401364,-0.608759
URS0000D66AA1_12908/1-115_subopt2,   8.07668,  -1.82823,  -3.61587,   1.79534, -0.538406,  0.167451, -0.880982,   0.57937,  0.174433, -0.570773,  0.292826,   1.39592,  0.957099,  0.806472,  0.291606,  0.452548, -0.167059,-0.0538018,  0.542703, -0.487091
URS0000D66AA1_12908/1-115_subopt3,   8.44445,   -2.0261,  -3.08649,   1.60063, -0.855002,   1.00318, -0.539783,   1.17202,   1.03954, -0.688522, 0.0423244,  0.689071,  0.710276,  0.113355,    1.2452,   0.47361, -0.750698, -0.569857,-0.0230419, -0.958889
URS0000D66AA1_12908/1-115_subopt4,   8.40836,  -2.10854,  -3.15145,   1.77674,  -0.87409,  0.488946, -0.774303,  0.666177,  0.236181, -0.854396, -0.116839,   1.52438,    1.3379,   0.80996,  0.642602,  0.542162,-0.0132138, -0.525213,    0.5023,  -1.06836
URS0000D66AA1_12908/1-115_subopt5,  7.40452, -2.19991, -1.58335, 0.139974, -1.57308,-0.527089,  1.84648, -1.48426,-0.361753,0.0147614,-0.525617, 0.733548, 0.284611,-0.264489,-0.696827,  1.68315,-0.574956,  -2.2317,   1.8003,-0.959248
URS0000D66AA1_12908/1-115_subopt6,   7.42983,   -1.6031, -0.761359, 0.0547341,  -1.57757,-0.0755361,   1.70627,  -0.41073, -0.727697,-0.0826487, -0.617689,  0.295412,  0.297697, -0.335971, -0.435998,    1.2142, -0.625367,  -1.38605,   1.45493, -0.810608
URS0000D66AA1_12908/1-115_subopt7,    7.7139,  -2.02166,  -1.38608, 0.0523168,  -1.07714,  -1.21644,   1.35405,-0.0971096, -0.129396, -0.627429,  0.232307,  0.543985,  0.750855,  0.284707, -0.497382,  0.355585,  0.177093, -0.463271,   1.02019,  -1.37723
URS0000D66AA1_12908/1-115_subopt8,  7.41731, -1.52227,-0.636248,-0.570797,  -1.4729,-0.361225,  1.31914, 0.395554,-0.568545,-0.529965,  0.16308, 0.886959, 0.336688, 0.177978,-0.409552, 0.364932,0.0692117,-0.454274,  1.33049, -1.21893
URS0000D66AA1_12908/1-115_subopt9,    7.40464,   -1.87198,   -1.17347,  -0.724665,   -1.44969,  -0.354115,    1.75533,   0.264503,   0.585193,  -0.456662,   0.259895,    0.68758,   0.114986,-0.00946021,-0.00582913,   0.045205,  -0.366111,   -0.55019,   0.715795,   -1.30351
URS0000D66AA1_12908/1-115_subopt10,  7.33603, -1.99494, -1.27742, -0.56039, -1.42973,-0.824103,  1.49763,-0.207143,-0.174894,-0.602181,0.0854333,   1.3885, 0.660178, 0.566187,-0.528293, 0.224271, 0.390025,-0.512401,  1.13405, -1.47989
URS0000D66AA1_12908/1-115_subopt11,   7.65521,   -1.7177,  -2.14326,  0.295895,  -1.69086,-0.0861007,   1.24867,  -1.54148, -0.726475, -0.552955, -0.743055,   0.20449,  0.257368,    0.9251, 0.0983335,  0.129261,  0.348631, 0.0749197,  0.183347,  -1.61599
URS0000D66AA1_12908/1-115_subopt12,  7.72636, -1.88536, -2.48404, 0.482696, -1.61109, 0.105913, 0.661462, -1.17221,-0.760853,-0.722635,-0.538675, 0.651675, 0.377156, 0.926483,  1.17569, 0.142706, 0.340944,-0.323835, 0.583218, -1.35911
URS0000D66AA1_12908/1-115_subopt13,   7.80001,  -1.40225,  -1.23466, -0.426844,  -1.46468, -0.217728,  0.642222, -0.624235, -0.702596, -0.442384, -0.225626, -0.340847,  0.215164,  0.557597,  0.334654, 0.0313472,  0.210973,-0.0329793,  0.976969,  -1.19394
URS0000D66AA1_12908/1-115_subopt14,   7.71938,  -1.86529,  -1.89136, -0.393664,  -1.40958, -0.650538,  0.760489,  -1.23903, -0.313546,  -0.52716, -0.326232,  0.137541,  0.501324,  0.959636,  0.154115,-0.0774072,  0.434844,-0.0713606,  0.727114,  -1.46359
URS0000D66AA1_12908/1-115_subopt15,   7.88438,  -2.08098,  -1.62422,-0.0953656, -0.390215, -0.507329,  0.443633,  -1.06236, -0.716566, -0.542437, -0.731641,  0.282463,-0.0645443,  0.993365,   1.49586, -0.577774,   1.18556, -0.350746,   1.16656, -0.968178
URS0000D66AA1_12908/1-115_subopt16,    7.4956,  -1.85279,  -2.88304, -0.158545,  -1.06967, -0.917443,-0.0249841,  -1.57887, -0.666154,  -0.32495,  0.609091,-0.0483405, -0.182173,    1.0329,   1.24564, -0.360499,  0.742218,  0.322276,   1.30116, -0.798079
URS0000D66AA1_12908/1-115_subopt17,   7.87665,  -2.05087,  -2.35316, -0.386187,  -1.40483,-0.0375665,   0.35834, -0.968239,  0.212435, -0.454767,  0.256183, -0.731856, -0.403623,  0.360216,   2.21082, -0.334151,  0.155181, -0.211899,  0.737883,  -1.29327
URS0000D66AA1_12908/1-115_subopt18,  7.84054, -2.13327, -2.41802,-0.210031, -1.42391,-0.551828, 0.123746,  -1.4741,-0.590922,-0.620622,0.0970362,  0.10344, 0.224003,  1.05685,  1.60821,-0.265596, 0.892661,-0.167261,  1.26325, -1.40275
URS0000D66AA1_12908/1-115_subopt19,  7.44477, -1.79977, -0.68738,-0.194773, -1.41378,-0.378208,  1.03826,-0.737971,-0.627155,-0.122116,-0.386899,-0.267467, 0.427443,  0.17142,-0.188513, 0.795195,-0.518717,-0.898152,  1.37269,-0.735856
URS0000D66AA1_12908/1-115_subopt20,  7.70876, -2.48222, -1.47068,-0.601396,-0.947197,-0.992833,  1.18974,-0.187329,0.0588313,-0.485362,-0.112785,0.0743194, 0.652727, 0.316825,-0.150522,-0.727896,-0.304156,-0.202897, 0.956496, -1.45746
URS0000D66AA1_12908/1-115_subopt21,   7.69033,  -2.45733,  -1.48814,  -1.00695, -0.977345,  -0.73141,   1.72086,  0.011886, -0.125137, -0.656403, -0.386254,  0.453424,  0.441427,  0.340356, 0.0616454,  -0.75293,-0.0781455, -0.263226,   1.04063,  -1.54626
URS0000D66AA1_12908/1-115_subopt22,    7.2933,  -2.14912,  -1.22686, -0.477851,  -1.30884,  -1.04386,  0.758847, -0.725828,-0.0172529, -0.563739,  0.162381,  0.570145,  0.688177,  0.908162, -0.479181, 0.0455018,   0.30499,-0.0228928,   1.02096,  -1.33112
URS0000D66AA1_12908/1-115_subopt23,  7.67657, -1.46136, -1.42234,  0.58132, -1.69599, 0.119365,  1.32916,  -1.0282,  -0.5719,-0.153438,-0.819574, 0.892914, 0.102743,  1.07312,0.0913228, 0.437611,-0.114364,-0.217792, 0.360616, -1.42305
URS0000D66AA1_12908/1-115_subopt24,   7.76305,  -1.46818,  -1.51065,  0.476879,  -1.71549,  0.666935,   1.45182, -0.809278,   0.18502, 0.0522161, -0.457597,-0.0195055, -0.751066,  0.323043,  0.798924,  0.320295,  -0.77912, -0.226504, -0.218311,  -1.39439
HF991811.1/50598-50499_subopt0,   6.5306,-0.387497, -2.75171, 0.922727,  2.29601, 0.742766,-0.467958, 0.982018, 0.479679,0.0276142,-0.996994, 0.690854,-0.164457,-0.117254,-0.857623,-0.637879,-0.792112,-0.153413,-0.255693, 0.443246
HF991811.1/50598-50499_subopt1,   6.90188, -0.639058,  -2.63084,   1.16746,   2.67603,  0.266774, -0.681605,   1.02739,  0.569702,  0.342076, -0.942802,  0.425052,  -0.29865, 0.0661477,   -1.0496, -0.723799, -0.717537,-0.0278578, -0.316583,  0.696717
HF991811.1/50598-50499_subopt2,   6.66577,  -0.65312,  -3.25213,   1.17153,   2.32043,   0.92068,  -1.09653,  0.947669,  0.333595, -0.125411, -0.592171,  0.916019, -0.240945,-0.0914061,  0.205486, -0.602416, -0.611476, -0.351696,-0.0575344,  0.568462
HF991811.1/50598-50499_subopt3,   7.34134,  -1.38446,  -2.73102,   1.39357,  0.848621,  0.562387,  -1.39299,  0.988548,  0.601997,  -0.29681, -0.581509,  0.806442,  0.547714, -0.212271,  0.531026, -0.461415,  -1.12794,-0.0567412,  0.353268, -0.276777
HF991811.1/50598-50499_subopt4,  7.03707,-0.904671, -3.13124,  1.41627,  2.70045, 0.444695, -1.31018, 0.993061, 0.423601, 0.189049, -0.53798, 0.650224,-0.375142, 0.091998,0.0135357, -0.68833,-0.536904,-0.226143,-0.118419, 0.821936
HF991811.1/50598-50499_subopt5,    7.7266,  -1.68564,  -2.49891,   1.70114,   1.38372,  0.216331,  -1.50418,   1.09789,  0.653763, 0.0780224, -0.625813,  0.565692,  0.312805, -0.012503,  0.536664, -0.544971, -0.805506,-0.0572147,  0.224865,  0.093578
HF991811.1/50598-50499_subopt6,   7.63671,  -1.57972,  -3.75367,   1.20602,  0.387582,   1.27265, -0.364887,   1.22394,  0.621163, -0.198457, -0.426661,  0.673048,  0.732853,  0.280727,  0.669687, 0.0086861, -0.839064,  0.352868,  0.396438,-0.0181064
HF991811.1/50598-50499_subopt7,    5.6891, -0.809203,  -1.83921, -0.416012,   1.50207,-0.0172205,   1.34415,  -1.17886, -0.285155,  0.740785,  -1.00365, 0.0576146,  -1.24874, -0.971888, -0.830978,  0.362524,  -1.00247,  -1.84439,   0.93223,  0.619085
HF991811.1/50598-50499_subopt8,   5.62802, -0.180432, -0.967139, -0.573061,   1.47343,  0.527006,   1.33993,-0.0266073, -0.564911,   0.65679,  -1.10692, -0.487038,  -1.13465, -0.938793, -0.646451, 0.0507884,  -1.18047,  -1.00599,  0.555812,  0.885553
HF991811.1/50598-50499_subopt9,   6.35309, -0.925809, -0.405132, -0.316308, 0.0531024, 0.0684521,  0.851402,-0.0556689,  -0.19343,  0.626153,  -1.02013,  -0.72882, -0.242031, -0.957386, -0.293484,  0.194592,  -1.71932, -0.719889,  0.991043, 0.0104607
HF991811.1/50598-50499_subopt10,   6.08968, -0.465596, -0.869092, -0.287799,   1.91907, -0.029589,  0.988798, 0.0282301, -0.414899,   1.06222, -0.971933, -0.912149,  -1.20497, -0.684349, -0.891017,0.00010566,  -1.21053, -0.825007,  0.492999,   1.21049
HF991811.1/50598-50499_subopt11,   6.5494, -1.03421, -1.31895,-0.563055,-0.320623, 0.763797,  2.17751, 0.217825,  -0.2868,  0.59192,-0.838383,-0.669677,-0.197742,-0.747978,-0.473581, 0.759502, -1.52507,-0.418837,  1.25827, 0.330162
HF991811.1/50598-50499_subopt12,    5.97845,  0.0781373,   -2.04896,   0.231047,    1.45057,   0.511562,    1.11608,  -0.518044,  -0.118985,   0.186755,  -0.774727, -0.0241894,   -1.65424,  -0.588645,  -0.242588,  -0.496275,  -0.964674,  -0.509341,-0.00742518,   0.506944
HF991811.1/50598-50499_subopt13,   6.44012,  -0.20703,   -1.9509,  0.516314,   1.89621,-0.0450316,  0.764941, -0.463206, 0.0310216,  0.592181, -0.639743, -0.449291,  -1.72455, -0.334197, -0.487159, -0.546954, -0.994725, -0.328355,-0.0702411,  0.831882
HF991811.1/50598-50499_subopt14,  6.56628, 0.790632,-0.746166, -1.28434,  1.31811,  0.63252, 0.925591, 0.757228,-0.168684, 0.368093,0.0270296,  1.10985,-0.916304, -1.28447,-0.563281, -1.57465,-0.116078, 0.283324, -0.15212,  0.32735
HF991811.1/50598-50499_subopt15,   6.0291, 0.499786,-0.786661,  0.26167,    1.433,  1.07153,  0.79029, 0.349696, 0.119341,-0.199526,-0.517696, 0.297392,  -1.0837, -1.48716,-0.490495, -1.16304, -0.42964,0.0703994,-0.702943,   0.2282
HF991811.1/50598-50499_subopt16,    6.56164,   0.787995,  -0.787929,   -1.14599,    1.32131,   0.718167,   0.933431,   0.536714,  -0.335071,   0.295073,-0.00843506,    1.10704,  -0.852362,   -1.04866,  -0.827545,  -0.939638,   0.123768,   0.571348,  -0.378258,   0.156729
HF991811.1/50598-50499_subopt17,   6.02447,  0.497144, -0.828426,  0.400024,   1.43621,   1.15717,  0.798132,  0.129182,-0.0470444, -0.272543, -0.553161,  0.294589,  -1.01976,  -1.25136, -0.754761, -0.528037, -0.189794,  0.358423, -0.929083, 0.0575752
HF991811.1/50598-50499_subopt18,  7.05639, 0.170779, -0.42859,-0.973609,-0.396579, 0.368427,  1.02404, 0.857913, 0.395397, 0.123424,-0.519455,  1.11912,-0.882391,-0.617137,-0.607175, -1.11208, 0.535648, 0.444991,-0.495164, 0.378055
HF991811.1/50598-50499_subopt19,  6.47648,-0.138505,-0.550788, 0.589307,-0.248514,  0.68596, 0.960932, 0.394217, 0.862834,-0.542069, -1.09971, 0.342252, -1.10544,-0.694633,-0.483274,-0.728008, 0.164038, 0.187172, -1.06815, 0.251977
HF991811.1/50598-50499_subopt20,   6.91652,  0.506781,-0.0408376,  -1.13563, -0.297943,  0.611934,   1.03657,   1.30077,  0.085818,  0.395684, -0.921305,  0.846489, -0.407012, -0.507138, -0.776032, -0.817792,  0.642757,   0.72528, -0.563382,    0.1991
HF991811.1/50598-50499_subopt21,   6.39211,  0.217335,-0.0844085,  0.400614, -0.177974,   1.04776,  0.916046,  0.893481,  0.377934,  -0.16777,  -1.46444, 0.0260673, -0.574007,  -0.71609, -0.717615,  -0.42558,  0.322129,  0.510063,  -1.11242,  0.106425
HF991811.1/50598-50499_subopt22,   6.38467,   1.18255,   -0.2743,  -1.16714,   1.37883,  0.400799,   1.42193,   1.07033,  0.145252, 0.0480093, -0.271495,  0.963467, -0.664098,   -0.4247,  -0.55204,  -0.86144,-0.0370223,  0.558707, -0.705309,-0.0575518
HF991811.1/50598-50499_subopt23,  5.79539, 0.871342,-0.398246, 0.397006,  1.52674, 0.718676,  1.35935, 0.607965, 0.611922, -0.61782,-0.850899, 0.187078,-0.887821,-0.501874, -0.42793,-0.478644,-0.408675, 0.301121, -1.27784,-0.184226
HF991811.1/50598-50499_subopt24,   7.22723, -0.115457, -0.926088, -0.890366,0.00270975,  0.230616,   1.02274,  0.454363, 0.0358158,  0.159683, -0.522899,   1.15564, -0.886692, -0.749025, -0.374637, -0.870905, 0.0892838,  0.486325, -0.398235, -0.186524
URS0000D6CFA0_12908/1-100_subopt0,  5.77963,   2.0636, -1.29173, -1.33714, 0.571725,  0.59339, 0.695573, 0.475728, 0.488784,  1.07736,-0.538294,-0.729439,-0.623265,-0.953414, 0.259853, -1.48935, -1.52847, 0.352364, -0.34484,-0.096048
URS0000D6CFA0_12908/1-100_subopt1,  5.77936,  2.11721, -1.27631, -1.35941, 0.555444, 0.631903, 0.782043, 0.244992, 0.593103,  1.15638,-0.686273,-0.718013,-0.660417, -0.89494,-0.205997,-0.996864, -1.26502, 0.630319,-0.515737,-0.261402
URS0000D6CFA0_12908/1-100_subopt2,  6.24247, 0.496264, -1.03601, 0.600706,  1.59517, 0.633832, 0.320948,  0.71723,  1.17604, 0.244123,-0.634882, 0.340718, -1.01774,-0.670733,-0.258684, -1.24271,-0.475681,-0.240285,-0.946321, 0.703787
URS0000D6CFA0_12908/1-100_subopt3,   6.21623,  0.555526, -0.986264,  0.635451,    1.5735,  0.657646,  0.403571,  0.427773,   1.20599,  0.253376, -0.721456,  0.391256,  -1.03861, -0.490558,  -0.79009, -0.546884,-0.0973293, 0.0583765,  -1.13827,  0.555052
