 ,snm_1,snm_2,snm_3,snm_4,snm_5,snm_6,snm_7,snm_8,snm_9,snm_10,snm_11
RF02913#URS0000D66AA1_12908/1-115#subopt0,  7.14038,-0.568386,  2.21618,  1.36074,  1.09866,  1.39493, -1.07918,  1.35289, 0.376293, 0.470094, -1.25897
RF02913#URS0000D66AA1_12908/1-115#subopt1,   6.47535,   0.16304,   1.85716,   1.52478,   1.04963,   1.11227,  -2.05449,   1.29977,-0.0906136,  0.340346, -0.591277
RF02913#URS0000D66AA1_12908/1-115#subopt2,  6.91487,-0.215734,  1.48548,  1.63401,  0.84443,  1.51229, -1.57223, 0.378545, 0.483574,  1.45028,-0.689382
RF02913#HF991811.1/50598-50499#subopt0,   5.21589,  0.625279,   2.74943, -0.974807,   1.21841,-0.0836336,  -1.98666,  0.944457,  0.274449,  0.993969, -0.830604
RF02913#HF991811.1/50598-50499#subopt1,  5.91068, 0.207113,   2.3763, 0.316414, 0.824638, 0.434711, -1.68507, 0.712479, 0.138069,  1.12987,-0.311775
RF02913#HF991811.1/50598-50499#subopt2,   5.63189,  0.175801,   3.18674,  -1.13186,    1.3157, -0.435239,   -1.9816,  0.644807,-0.0900779,  0.779852,  -0.57114
RF02913#URS0000D6CFA0_12908/1-100#subopt0,  5.77691, -0.65206, 0.119452, -2.54901, 0.340107, 0.936013, -1.90401,-0.355727, 0.535689, 0.570652, -1.37914
RF02913#URS0000D6CFA0_12908/1-100#subopt1,   5.21589,   0.62528,   2.74943, -0.974806,   1.21841,-0.0836335,  -1.98666,  0.944456,  0.274451,   0.99397, -0.830605
RF02913#URS0000D6CFA0_12908/1-100#subopt2,  5.91068, 0.207113,  2.37631, 0.316415, 0.824638,  0.43471, -1.68507, 0.712479, 0.138067,  1.12987,-0.311774
RF02913#URS0000D65DF1_12908/1-80#subopt0,    4.5107,   1.39444,   1.16597,  0.482448,  0.581087,  0.242142,  -1.74794,   1.43545,-0.0197184,  0.897202, -0.405048
RF02913#URS0000D65DF1_12908/1-80#subopt1,  5.24052, 0.752902,  1.65591, 0.188648,  0.56925, 0.674844, -1.15726,    1.771,0.0866903, 0.494704,-0.024449
RF02913#URS0000D65DF1_12908/1-80#subopt2,  5.14837, 0.842301,  1.96752, 0.148557, 0.778621,0.0913994, -1.87244, 0.959358,-0.209736,  1.00632, 0.140644
RF02913#URS0000D6C5B0_12908/1-80#subopt0,  5.14837, 0.842301,  1.96751, 0.148558, 0.778621,0.0913985, -1.87244, 0.959356,-0.209736,  1.00632, 0.140645
RF02913#URS0000D6C5B0_12908/1-80#subopt1,  5.32946, 0.752105,   1.9289, 0.194614, 0.863029,  0.55772, -1.82413,  1.33567, 0.426897,-0.181187, -0.87621
RF02914#URS0000D68A3E_12908/1-36#subopt0,    2.6622,   2.13153,  0.281899, -0.322283,  0.832108,  0.504325,-0.0868805, -0.465613,  0.307448,  0.690563,   0.47504
RF02914#URS0000D68A3E_12908/1-36#subopt1,    1.38212,   0.781818, -0.0958144,  -0.208339,  -0.820174,-0.00932555,   -0.24584, -0.0368494,   0.497579, -0.0949775,   0.280208
