 ,snm_1,snm_2,snm_3,snm_4,snm_5,snm_6,snm_7,snm_8,snm_9,snm_10,snm_11,snm_12,snm_13,snm_14,snm_15,snm_16,snm_17,snm_18,snm_19
RF02913#URS0000D66AA1_12908/1-115#subopt0,  7.15179,-0.102456, -2.29958, -1.78831,-0.481767,  1.82649, 0.448152,  0.65923,   1.1843,-0.143626, 0.737846, 0.942372,  0.08549, 0.386841, -1.93174,-0.487632,-0.604081, 0.687677,-0.645251
RF02913#URS0000D66AA1_12908/1-115#subopt1,    6.46439,   0.531087,   -1.74129,   -1.95259,  -0.551906,    1.73131,    1.53715,   0.427901,    1.13192, 0.00963928,   0.181575,-0.00672968,-0.00467238,    1.49468,   -1.79727,  -0.507368,  -0.515401,   0.934193,   -1.27335
RF02913#URS0000D66AA1_12908/1-115#subopt2,   6.92228,   0.13751,  -1.55505,  -2.08346,-0.0869183,   1.53335,  0.795228, -0.461669,   1.42055,   0.62636,   1.16757,  0.489922,    0.2076,  0.713511,  -2.34324, -0.998838, -0.896061,   0.99927,  -1.19861
RF02913#URS0000D66AA1_12908/1-115#subopt3,  6.90953, 0.210385,    -1.64, -2.45157,-0.288276,  1.81732, 0.954172, 0.686423,  1.13208,0.0354418, 0.696719, 0.658571,0.0732977,  1.11442, -2.09882,-0.831826,-0.629912, 0.994284, -1.09302
RF02913#URS0000D66AA1_12908/1-115#subopt4,   7.15387,-0.0707716,  -1.29382,  -1.99131,  0.206617,    1.3428,  0.458495,  0.236244,  0.556332, -0.154647,  0.929123,   0.81647,  0.739628,   1.21884,  -1.90804, -0.486102, -0.551857,   1.09811, -0.928807
RF02913#HF991811.1/50598-50499#subopt0,   5.20724,   1.23798,  -2.44506,  0.680682,  -1.23398,   1.30034,   1.86971,  -0.22032,   1.48298, -0.084001,   0.56519,   0.18652, -0.299617,  -0.16107,  -1.49404,-0.0130729, -0.398355,  0.430922, -0.664895
RF02913#HF991811.1/50598-50499#subopt1,  5.92114, 0.761446, -2.30682,-0.586392,-0.646989,  1.09803,  1.45716,-0.205068,  1.31666, 0.172827, 0.565319,-0.637601,-0.405485, 0.416525, -1.81532,-0.565927,-0.659853, 0.453049,-0.370291
RF02913#HF991811.1/50598-50499#subopt2,   5.63218,  0.846105,  -2.91182,  0.810681,  -1.49003,   1.01766,   2.08326, -0.366065,    1.2656,  0.144473,  0.182522,-0.0348726, -0.505793, -0.102386,  -1.43201,   0.38706, -0.715031,  0.474173, -0.789405
RF02913#HF991811.1/50598-50499#subopt3,    6.3405,  0.389244,  -2.85613, -0.444064, -0.822334,   0.93128,   1.50633, -0.333653,   1.19234,   0.32026,  0.253118, -0.721915, -0.509878,  0.317523,  -1.71942,-0.0846338, -0.877878,  0.435206, -0.358152
RF02913#HF991811.1/50598-50499#subopt4,   6.06287,  0.701882,  -2.30244,  -1.03546, -0.546779,   1.20877,   1.81815, -0.531413,   1.23716, -0.676915,0.00935949,  0.217524,  0.166047,  0.696316,  -1.89509,  -1.38843, -0.847064,  0.490522,  -1.14635
RF02913#URS0000D6CFA0_12908/1-100#subopt0,   5.77252,  -0.41445, -0.344982,   1.99588,  0.414865,   2.10574,   1.05336,   -1.1174,  0.820772,-0.0131054,    0.2289,   1.40655, -0.226048, -0.748762,  -0.36625, -0.267164,  -1.30354, -0.256599, 0.0206544
RF02913#URS0000D6CFA0_12908/1-100#subopt1,   5.20724,   1.23798,  -2.44506,  0.680682,  -1.23398,   1.30034,   1.86971,  -0.22032,   1.48298,-0.0840019,  0.565189,  0.186519, -0.299618,  -0.16107,  -1.49404,-0.0130735, -0.398357,  0.430921, -0.664895
RF02913#URS0000D6CFA0_12908/1-100#subopt2,  5.92113, 0.761446, -2.30682,-0.586392,-0.646987,  1.09803,  1.45717,-0.205068,  1.31666, 0.172827, 0.565318,-0.637601,-0.405486, 0.416525, -1.81532,-0.565927,-0.659853, 0.453049,-0.370291
RF02913#URS0000D6CFA0_12908/1-100#subopt3,  5.63218, 0.846105, -2.91182, 0.810681, -1.49003,  1.01766,  2.08326,-0.366065,   1.2656, 0.144471, 0.182523,-0.034872,-0.505793,-0.102386, -1.43201,  0.38706,-0.715031, 0.474174,-0.789404
RF02913#URS0000D6CFA0_12908/1-100#subopt4,     5.856,  0.960876, -0.267326,  0.749749,  -0.03767,  0.929116, -0.114325, -0.948994,  0.403978,   0.22868,  0.652755,  0.171105,   1.01162, -0.604673, -0.252179, -0.379902,   -1.7427,  0.184224,-0.0957588
RF02913#URS0000D65DF1_12908/1-80#subopt0,   4.49505,   1.63893, -0.739572, -0.680328, -0.565059,   1.02586,   1.68733,  0.618024,   1.35333,   0.21525,  0.628684,0.00874303, -0.662835,  0.955094,   -1.3156, -0.273352, -0.429355,  0.100874, -0.792288
RF02913#URS0000D65DF1_12908/1-80#subopt1,  5.23806,  1.10763, -1.45519,-0.397164,-0.435622,  1.26945,  1.09699,  1.02438, 0.927964, 0.128381, 0.502762,-0.611563, -0.65416,  1.28688, -1.52803,-0.357677,-0.500067, 0.334891, -1.05028
RF02913#URS0000D65DF1_12908/1-80#subopt2,  5.13762,  1.24142, -1.68071,-0.386543,-0.740016, 0.864561,  1.86484, 0.121693,  1.27927, 0.462413, 0.300768,-0.795626,-0.464434, 0.913869, -1.46281,-0.460213,-0.756768, 0.593367, -1.09449
RF02913#URS0000D65DF1_12908/1-80#subopt3,  5.45844,  1.30133,-0.209534, -1.54065,-0.428623,-0.450021, 0.759465,-0.302643, 0.253304, -1.01173,-0.170121, -0.97512,  1.02326,-0.203182,-0.453549,-0.136539,-0.186806, 0.744761,-0.943805
RF02914#URS0000D68A3E_12908/1-36#subopt0,   2.6474,  2.14697,0.0991931, 0.130297,-0.592763,  0.49333,-0.194276,-0.615175,-0.173971, 0.820857, 0.518952, 0.121563, 0.123559,0.0364746, 0.629202,-0.263717,-0.383926,-0.482125,-0.483147
RF02914#URS0000D68A3E_12908/1-36#subopt1,    1.3745,  0.760624,  0.263576,  0.262344,  0.742159, -0.185152,  0.395429,   0.22484, -0.497537,-0.0310407,  0.360724,-0.0269911, 0.0319609, -0.145479,  0.426646,  0.118389, -0.357693,-0.0177962, -0.400617
RF02914#URS0000D676FA_12908/1-35#subopt0,   1.34338,  0.785127,-0.0144009, -0.017067,  0.343104,  0.607949,  0.408669,   0.17026, -0.210032,  0.330171,  0.150522, 0.0747902, -0.382961, -0.365699,  0.148743,-0.0447403,-0.0928526, -0.107158, -0.419026
RF02914#URS0000D676FA_12908/1-35#subopt1,    2.54005,   0.338314,  -0.605509,   0.242869,   0.539211,    1.21905,   0.067503,   0.931692,  -0.267211,    0.26937,   0.572625, -0.0693756,  -0.727921,  -0.614482,   0.041961, -0.0939779,   0.659652,-0.00255887,  -0.893361
RF02914#URS0000D676FA_12908/1-35#subopt2,   2.45985,  0.294811, -0.894949,  0.424157,  0.728295,  0.614926, 0.0497232,  0.295638, -0.110499,-0.0623654,  0.535264,  0.427507, -0.765482, -0.684817, -0.316132, -0.537902, 0.0571261, -0.297157, -0.494102
RF02914#URS0000D676FA_12908/1-35#subopt3,  1.40567, 0.821344, 0.238262, 0.469074, 0.904521,0.0423846,-0.355589, -0.25674,-0.122703, 0.679114,-0.319108, 0.295497,-0.263623,0.0460229,0.0132634,0.0796431,  0.33752, 0.225895,-0.272238
RF02914#URS0000D676FA_12908/1-35#subopt4,   2.27111,  0.594687,  0.587283, -0.400354,  0.912826, -0.280651, -0.376251, -0.702154, -0.365427,  0.196718, -0.380244,  0.705058, -0.462735, -0.161922,  0.211254,  0.029835,  0.554878,-0.0841695, -0.277429
RF02914#URS0000D67F50_12908/1-35#subopt0,   1.34338,  0.785127,-0.0144011,-0.0170669,  0.343104,  0.607949,  0.408669,  0.170261, -0.210032,  0.330171,  0.150521, 0.0747897, -0.382961, -0.365699,  0.148742,-0.0447401,-0.0928526, -0.107158, -0.419027
RF02914#URS0000D67F50_12908/1-35#subopt1,   2.5956, 0.302961,-0.725423, 0.351776, 0.582568, 0.850001,-0.193211, 0.490712,-0.487749, -0.56979, 0.317026, 0.509847,-0.613027,-0.685897,-0.157833,-0.346861, 0.512023,-0.214182,-0.791519
RF02914#URS0000D67F50_12908/1-35#subopt2,    2.54005,   0.338314,  -0.605509,   0.242869,   0.539211,    1.21905,  0.0675027,   0.931692,  -0.267212,    0.26937,   0.572625, -0.0693752,  -0.727921,  -0.614482,  0.0419613, -0.0939781,   0.659652,-0.00255895,  -0.893362
RF02914#URS0000D67F50_12908/1-35#subopt3,   2.45985,  0.294811, -0.894949,  0.424157,  0.728294,  0.614925, 0.0497235,  0.295638, -0.110499,-0.0623656,  0.535264,  0.427507, -0.765483, -0.684817, -0.316132, -0.537902, 0.0571262, -0.297157, -0.494102
RF02914#URS0000D67F50_12908/1-35#subopt4,  1.40567, 0.821344, 0.238262, 0.469073, 0.904521,0.0423841,-0.355589, -0.25674,-0.122703, 0.679115,-0.319109, 0.295497,-0.263623, 0.046023,0.0132631,0.0796428,  0.33752, 0.225895,-0.272238
RF02914#URS0000D65E22_12908/1-36#subopt0,   2.6474,  2.14698,0.0991925, 0.130298,-0.592762, 0.493331,-0.194276,-0.615174,-0.173971, 0.820857, 0.518953, 0.121563,  0.12356,0.0364754, 0.629202,-0.263718,-0.383926,-0.482125,-0.483147
RF02914#URS0000D65E22_12908/1-36#subopt1,    1.3745,  0.760624,  0.263576,  0.262343,  0.742159, -0.185151,  0.395429,  0.224841, -0.497538,-0.0310402,  0.360724,-0.0269902, 0.0319618, -0.145479,  0.426647,  0.118389, -0.357693,-0.0177965, -0.400617
RF02924#URS0000D691F7_12908/1-83#subopt0,  3.37518,  1.53755,  1.61216,  1.45916,  1.05033, 0.186483, 0.193198, 0.294116, 0.143167,  0.55441, -1.60168, 0.169604,-0.169899,-0.256573, -0.51458, 0.913396, -1.02706,-0.284388, 0.238267
RF02924#URS0000D691F7_12908/1-83#subopt1,    4.06395,      1.218,    2.08419,   0.239353,    1.10329,   -0.24774,-0.00333719,  -0.526059,   0.683698,   0.611841,   -1.48359,   0.241276,   -1.17495,   0.246788,   -0.69759,    1.22645,  -0.785368,   0.145346,   0.558172
