 ,B,B_1,B_1[S_2S_3],B_1[S_3S_4],B_2,B_2[S_3S_6],E3,E3[HMS],E3[IMS],E3[IS],E3[MS],E3_0,E3_0[I_0S_1],E3_0[I_1M_5S_1],E3_0[I_1S_1],E3_0[M_16S_1],E5,E5[IS],E5[MS],E5_0,E5_0[I_1S_1],E5_1,E5_1[M_16S_1],E5_2,E5_4,E5_4[I_0S_1],E5_9,H,H[E3S],H_12,H_3,H_3[S_2],H_4,H_4[S_1],H_4[S_2],H_4[S_4],H_4[S_6],H_5,H_5[S_3],H_6,H_6[S_1],H_6[S_2],H_6[S_5],H_7,H_7[S_2],H_8,H_8[S_4],H_9,H_9[E3_0S_1],H_9[S_5],I,I[E3E5SS],I[E3SS],I_0,I_0[E3_0E5_4S_1S_1],I_0[E3_0E5_4S_1S_3],I_0[S_2S_3],I_0[S_3S_3],I_0[S_3S_4],I_1,I_1[E3_0E5_0S_1S_5],I_1[S_1S_3],I_1[S_2S_3],I_1[S_2S_4],I_1[S_3S_3],I_1[S_3S_4],M,M[E3E5SSSS],M[E3E5SS],M[SSSS],M[SSS],M_1,M_14,M_16,M_18,M_5,S,S[BB],S[BH],S[BI],S[BM],S[E3E5I],S[E3E5M],S[E3HM],S[E3IM],S[E5HM],S[HI],S[HM],S[II],S[IM],S_1,S_1[E3_0E5_0I_1],S_1[E3_0E5_1M_16],S_1[E3_0E5_4I_0],S_1[E3_0I_1M_5],S_1[H_6I_1],S_1[I_0I_1],S_2,S_2[B_1I_0],S_2[H_6I_1],S_2[I_0I_0],S_2[I_0I_1],S_3,S_3[B_1I_0],S_3[B_2I_1],S_3[H_5I_1],S_3[I_0I_0],S_3[I_0I_1],S_3[I_1I_1],S_3[I_1M_16],S_4,S_4[B_1H_4],S_4[I_0I_1],S_4[I_1I_1],S_5,S_5[H_9M_14],S_5[H_9M_16],S_6
RF02913#URS0000D66AA1_12908/1-115#subopt0,2.32193,1.58496,1.58496,      0,1.58496,      1,      1,      0,      0,      0,      1,      1,      0,      0,      0,      0,      1,      0,      1,      0,      0,      1,      0,      0,      0,      0,      0,      2,      0,      0,      0,      0,1.58496,      1,      0,      0,      1,      1,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      0,      0,      1,      0,      0,      0,      0,      0,1.58496,      0,      0,      0,      0,1.58496,      0,      1,      1,      0,      0,      0,      0,      0,      0,      0,      0,3.58496,1.58496,      0,      2,      1,      0,      1,      0,      0,      0,1.58496,      1,      0,      1,1.58496,      0,      0,      0,      0,      0,      0,1.58496,      1,      0,      0,      0,2.58496,      0,1.58496,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,1.58496
RF02913#URS0000D66AA1_12908/1-115#subopt1,2.32193,1.58496,1.58496,      0,1.58496,      0,      1,      0,      0,      0,      1,      1,      0,      0,      0,      0,      1,      0,      1,      0,      0,      1,      0,      0,      0,      0,      0,      2,      0,      0,      0,      0,      1,      0,      0,      0,      1,      1,      1,      1,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      0,      0,      1,      0,      0,      0,      0,      0,1.58496,      0,      0,      0,      0,      1,      1,      1,      1,      0,      0,      0,      0,      0,      0,      1,      0,3.58496,1.58496,      0,      2,      1,      0,      1,      0,      0,      0,1.58496,      1,      0,      1,1.58496,      0,      0,      0,      0,      0,      0,1.58496,      1,      0,      0,      0,2.32193,      0,1.58496,      1,      0,      0,      0,      0,      1,      0,      0,      0,      1,      0,      0,      1
RF02913#URS0000D66AA1_12908/1-115#subopt2,2.32193,1.58496,1.58496,      0,1.58496,      0,      1,      0,      0,      0,      1,      1,      0,      0,      0,      0,      1,      0,      1,      0,      0,      1,      0,      0,      0,      0,      0,      2,      0,      0,      1,      1,      1,      0,      0,      0,      1,      1,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      0,      0,      1,      0,      0,      0,      0,      0,1.58496,      0,      0,      0,      0,      1,      1,      1,      1,      0,      0,      0,      0,      0,      0,      0,      0,3.58496,1.58496,      0,      2,      1,      0,      1,      0,      0,      0,1.58496,      1,      0,      1,      1,      0,      0,      0,      0,      0,      0,      2,      1,      0,      0,      0,2.32193,      0,1.58496,      1,      0,      0,      0,      0,      1,      0,      0,      0,      1,      0,      0,      1
RF02913#URS0000D66AA1_12908/1-115#subopt3,2.32193,1.58496,1.58496,      0,1.58496,      0,      1,      0,      0,      0,      1,      1,      0,      0,      0,      0,      1,      0,      1,      0,      0,      1,      0,      0,      0,      0,      0,2.32193,      0,      0,      0,      0,1.58496,      0,      1,      0,      1,      1,      1,      1,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      0,      0,      1,      0,      0,      0,      0,      0,1.58496,      0,      0,      0,      0,      1,      1,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,3.70044,1.58496,      0,      2,      1,      0,      1,      0,      0,      0,1.58496,1.58496,      0,      1,1.58496,      0,      0,      0,      0,      0,      0,      2,      1,      0,      0,      0,2.32193,      0,1.58496,      1,      0,      0,      0,      0,      1,      0,      0,      0,      1,      0,      0,      1
RF02913#URS0000D66AA1_12908/1-115#subopt4,2.32193,1.58496,1.58496,      0,1.58496,      1,      1,      0,      0,      0,      1,      1,      0,      0,      0,      0,      1,      0,      1,      0,      0,      1,      0,      0,      0,      0,      0,      2,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      1,1.58496,      1,      0,      1,      0,      0,      0,      0,      0,      0,      0,      2,      0,      0,      1,      0,      0,      0,      0,      0,1.58496,      0,      0,      0,      0,1.58496,      0,      1,      1,      0,      0,      0,      0,      0,      0,      1,      0,3.58496,1.58496,      0,      2,      1,      0,      1,      0,      0,      0,1.58496,      1,      0,      1,1.58496,      0,      0,      0,      0,      0,      0,1.58496,      1,      0,      0,      0,2.58496,      0,1.58496,      1,      0,      0,      0,      0,      0,      0,      0,      0,      1,      0,      0,      1
RF02913#URS0000D66AA1_12908/1-115#subopt5,2.32193,1.58496,1.58496,      0,1.58496,      1,      1,      0,      0,      0,      1,      1,      0,      0,      0,      0,      1,      0,      1,      0,      0,      1,      0,      0,      0,      0,      0,      2,      0,      0,      0,      0,      1,      0,      0,      0,      1,      1,      1,      1,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      0,      0,      1,      0,      0,      0,      0,      0,1.58496,      0,      0,      0,      0,1.58496,      0,      1,      1,      0,      0,      0,      0,      0,      0,      1,      0,3.58496,1.58496,      0,      2,      1,      0,      1,      0,      0,      0,1.58496,      1,      0,      1,1.58496,      0,      0,      0,      0,      0,      0,1.58496,      1,      0,      0,      0,2.58496,      0,1.58496,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,1.58496
RF02913#URS0000D66AA1_12908/1-115#subopt6,2.32193,1.58496,1.58496,      0,1.58496,      1,      1,      0,      0,      0,      1,      1,      0,      0,      0,      0,      1,      0,      1,      0,      0,      1,      0,      0,      0,      0,      0,      2,      0,      0,      0,      0,      1,      0,      0,      0,      1,1.58496,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      0,      0,      1,      0,      0,      0,      0,      0,1.58496,      0,      0,      0,      0,1.58496,      0,      1,      1,      0,      0,      0,      0,      0,      0,      0,      0,3.58496,1.58496,      0,      2,      1,      0,      1,      0,      0,      0,1.58496,      1,      0,      1,1.58496,      0,      0,      0,      0,      0,      0,1.58496,      1,      0,      0,      0,2.58496,      0,1.58496,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,1.58496
RF02913#URS0000D66AA1_12908/1-115#subopt7,2.32193,1.58496,1.58496,      0,1.58496,      1,      1,      0,      0,      0,      1,      1,      0,      0,      0,      0,      1,      0,      1,      0,      0,      1,      0,      0,      0,      0,      0,      2,      0,      0,      1,      1,      1,      0,      0,      0,      1,      1,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      0,      0,      1,      0,      0,      0,      0,      0,1.58496,      0,      0,      0,      0,1.58496,      0,      1,      1,      0,      0,      0,      0,      0,      0,      0,      0,3.58496,1.58496,      0,      2,      1,      0,      1,      0,      0,      0,1.58496,      1,      0,      1,      1,      0,      0,      0,      0,      0,      0,      2,      1,      0,      0,      0,2.58496,      0,1.58496,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,1.58496
RF02913#URS0000D66AA1_12908/1-115#subopt8,      2,      1,      1,      0,1.58496,      0,      1,      0,      0,      0,      1,      1,      0,      0,      0,      1,      1,      0,      1,      0,      0,      1,      1,      0,      0,      0,      0,      2,      0,      0,      0,      0,      1,      0,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      0,      0,      0,      0,      2,      0,      0,      0,      0,      0,      0,      0,      0,      2,      0,      0,      0,      0,      1,      1,      1,      1,      0,      0,      0,      0,      0,      1,      0,      0,3.45943,      1,      0,      2,      1,      0,      1,      0,      0,      0,1.58496,      1,      0,      1,      1,      0,      1,      0,      0,      0,      0,1.58496,      0,      0,      0,      0,2.32193,      0,1.58496,      1,      0,      0,      0,      0,      1,      0,      0,      0,      1,      0,      0,      1
RF02913#URS0000D66AA1_12908/1-115#subopt9,2.32193,1.58496,1.58496,      0,1.58496,      0,      1,      0,      0,      0,      1,      1,      0,      0,      0,      1,      1,      0,      1,      0,      0,      1,      1,      0,      0,      0,      0,      2,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      1,1.58496,      0,      1,      1,      0,      0,      0,      0,      0,      0,      0,      2,      0,      0,      1,      0,      0,      0,      0,      0,1.58496,      0,      0,      0,      0,      1,      1,      1,      1,      0,      0,      0,      0,      0,      1,      0,      0,3.58496,1.58496,      0,      2,      1,      0,      1,      0,      0,      0,1.58496,      1,      0,      1,      1,      0,      1,      0,      0,      0,      0,      2,      1,      0,      0,      0,2.32193,      0,1.58496,      1,      0,      0,      0,      0,      1,      0,      0,      0,1.58496,      0,      0,      0
