 ,snm_1,snm_2,snm_3,snm_4,snm_5,snm_6,snm_7,snm_8,snm_9,snm_10,snm_11,snm_12,snm_13
RF02913#URS0000D66AA1_12908/1-115#subopt0,  7.14815,-0.270311, -2.37365,  1.58846, -1.08933,  1.63734,-0.898698, 0.604096, -1.21295,0.0768994,-0.701304, 0.283026,-0.311768
RF02913#URS0000D66AA1_12908/1-115#subopt1,  6.46827, 0.418436, -1.83195,  1.81968, -1.03339,  1.30131,  -1.9619, 0.292653, -1.03113, 0.313608,-0.377178,-0.709835,-0.255177
RF02913#URS0000D66AA1_12908/1-115#subopt2,   6.91918,  0.026609,  -1.59533,   1.91508, -0.602666,    1.5112,  -1.11855, -0.697524,  -1.31968,     0.663,  -1.21087,-0.0740172, -0.240257
RF02913#URS0000D66AA1_12908/1-115#subopt3,   6.90804, 0.0952057,  -1.72972,   2.26183, -0.849752,   1.67218,  -1.40809,  0.555525,  -1.07755,  0.280348, -0.735057,-0.0470861, -0.349888
RF02913#HF991811.1/50598-50499#subopt0,  5.21658,  1.06532, -2.58346,-0.766519,  -1.6101, 0.316336, -2.08365,-0.335715, -1.33852, 0.176485,-0.695366,-0.301232,-0.490587
RF02913#HF991811.1/50598-50499#subopt1,  5.92735, 0.609936, -2.39043,  0.52643,-0.918367, 0.575399, -1.68987,-0.449998, -1.09727, 0.393901,-0.743206, -1.18089,-0.478154
RF02913#HF991811.1/50598-50499#subopt2,  5.63911, 0.661949, -3.02076,-0.820244, -1.71729,-0.124138, -2.19261,-0.519477, -1.11092, 0.392168,-0.281191,-0.548625,-0.589491
RF02913#HF991811.1/50598-50499#subopt3,  6.34427, 0.214937, -2.91007, 0.429515, -1.00328, 0.301395, -1.68154,-0.591229,-0.993641,  0.51255,-0.407292,  -1.2688,-0.503996
RF02913#URS0000D6CFA0_12908/1-100#subopt0,   5.7673,-0.550163, -0.26103,  -2.2256, -0.64096,  1.53129,  -1.4459,  -1.1795,-0.861007,-0.183053,-0.121811,  1.14946,-0.480196
RF02913#URS0000D6CFA0_12908/1-100#subopt1,  5.21657,  1.06532, -2.58346,-0.766517,  -1.6101, 0.316338, -2.08365,-0.335716, -1.33852, 0.176486,-0.695368,-0.301232,-0.490587
