 ,snm_1,snm_2,snm_3,snm_4,snm_5,snm_6,snm_7,snm_8,snm_9,snm_10,snm_11,snm_12,snm_13,snm_14,snm_15,snm_16,snm_17,snm_18
RF02913#URS0000D66AA1_12908/1-115#subopt0,  7.13385, 0.435179, -2.18764,  1.46794, -1.18241,  1.53456,-0.940496,  1.14822, 0.238693, -1.16976,0.0933372, 0.274525, 0.300611,-0.643614,  1.14401,  1.61219,-0.321304,-0.843135
RF02913#URS0000D66AA1_12908/1-115#subopt1,   6.46278, -0.219241,  -1.74189,   1.69149,  -1.07176,   1.12763,  -1.91474,  0.993449,-0.0360186, -0.900658,  0.280751, -0.487129,    1.0233,  -0.82828,  0.460212,   1.92999, -0.988337, -0.267256
RF02913#URS0000D66AA1_12908/1-115#subopt2,    6.9055,  0.126387,  -1.42758,   1.79682, -0.810994,     1.441,  -1.34941,-0.0295486,  0.491206,   -1.4303,  0.780864,-0.0292425,  0.496554, -0.388383,   1.64578,   2.39102, -0.968259, -0.583253
RF02913#URS0000D66AA1_12908/1-115#subopt3,   6.89332, 0.0386779,  -1.56339,   2.13927, -0.991171,   1.56335,  -1.38527,    1.1272,  0.170634, -0.994192,  0.289049,0.00521508,   0.64871, -0.886206,   1.05412,   2.02037, -0.874569, -0.605342
RF02913#HF991811.1/50598-50499#subopt0,   5.20946, -0.763767,  -2.67215, -0.816217,  -1.22703,-0.0543319,  -2.10836,  0.671169,  0.398935,  -1.29214,   0.48151,  0.168863,  0.742371,  0.153294,  0.906041,   1.44175, 0.0156039,  -0.39875
RF02913#HF991811.1/50598-50499#subopt1,   5.91476, -0.350454,  -2.32907,  0.515497, -0.825819,  0.328795,  -1.67456,  0.345508,  0.424765,  -1.21314,  0.703462, -0.529307,   1.33845,-0.0822621,   1.19697,   1.65432, -0.393939,  -0.15095
RF02913#HF991811.1/50598-50499#subopt2,   5.63164, -0.330621,  -3.13825, -0.911168,  -1.29753, -0.479029,  -2.17156,  0.426657,  0.107056,   -1.0257,  0.436915,  0.071024,   1.06602,   0.42024,  0.511081,   1.46899,-0.0912892,  -0.79869
RF02913#HF991811.1/50598-50499#subopt3,   6.3322,0.0754964, -2.86683, 0.383128,-0.884097, 0.094578, -1.62274, 0.168825, 0.199891, -1.06311,  0.59039,-0.544062,  1.45737, 0.235494, 0.855234,  1.63846,-0.366015,-0.419847
RF02913#URS0000D6CFA0_12908/1-100#subopt0,   5.76705,    0.6134, -0.312018,  -2.36904,-0.0520009,   1.06896,  -2.01156, -0.392311,  0.329375, -0.936543, -0.299116,   1.21668, -0.369951,  0.251514,  0.974562,  0.432191, -0.579182, -0.833365
RF02913#URS0000D6CFA0_12908/1-100#subopt1,   5.20946, -0.763764,  -2.67215, -0.816214,  -1.22703,-0.0543325,  -2.10836,  0.671169,  0.398935,  -1.29214,   0.48151,  0.168863,   0.74237,  0.153294,  0.906039,   1.44175, 0.0156031,  -0.39875
RF02913#URS0000D6CFA0_12908/1-100#subopt2,  5.91476, -0.35046, -2.32906, 0.515495, -0.82582, 0.328795, -1.67456, 0.345507, 0.424766, -1.21314, 0.703462,-0.529309,  1.33845,-0.082263,  1.19697,  1.65432,-0.393938,-0.150951
RF02913#URS0000D6CFA0_12908/1-100#subopt3,   5.63164,  -0.33062,  -3.13825, -0.911168,  -1.29753, -0.479029,  -2.17156,  0.426659,  0.107055,   -1.0257,  0.436915, 0.0710245,   1.06602,  0.420239,  0.511082,   1.46899,-0.0912893, -0.798689
RF02913#URS0000D65DF1_12908/1-80#subopt0,   4.49682,  -1.43217, -0.987588,  0.590335, -0.670755,  0.270598,  -1.69915,   1.09727, 0.0668605, -0.961917,  0.987343,  0.299617,   1.21918, -0.577972,  0.545695,   1.43705, -0.814086,-0.0375661
