 ,snm_1,snm_2,snm_3,snm_4,snm_5,snm_6,snm_7,snm_8,snm_9,snm_10,snm_11,snm_12,snm_13,snm_14,snm_15,snm_16,snm_17,snm_18,snm_19,snm_20,snm_21,snm_22,snm_23,snm_24,snm_25,snm_26,snm_27,snm_28,snm_29,snm_30,snm_31,snm_32,snm_33,snm_34,snm_35,snm_36,snm_37,snm_38,snm_39,snm_40,snm_41,snm_42,snm_43,snm_44,snm_45,snm_46,snm_47,snm_48,snm_49,snm_50,snm_51,snm_52,snm_53,snm_54,snm_55,snm_56,snm_57,snm_58,snm_59,snm_60,snm_61,snm_62,snm_63,snm_64,snm_65,snm_66,snm_67,snm_68,snm_69,snm_70,snm_71,snm_72,snm_73,snm_74,snm_75,snm_76,snm_77,snm_78,snm_79,snm_80,snm_81,snm_82,snm_83,snm_84,snm_85,snm_86,snm_87,snm_88,snm_89,snm_90,snm_91,snm_92,snm_93,snm_94,snm_95,snm_96,snm_97,snm_98,snm_99,snm_100,snm_101,snm_102,snm_103,snm_104,snm_105,snm_106,snm_107,snm_108,snm_109,snm_110,snm_111,snm_112,snm_113,snm_114,snm_115,snm_116,snm_117,snm_118
RF02913#URS0000D66AA1_12908/1-115#subopt0,   0.0629582,  -0.0215566,  -0.0743138,   0.0507958,  -0.0968941,   0.0825601,  0.00360708,  -0.0546489, -0.00644346,  -0.0558164,   0.0198691,   0.0167247,  -0.0326146,   0.0130362,   0.0644841,    0.022338,  -0.0291581,  -0.0111644,   0.0688646,    0.104461,  -0.0279028,   0.0474875,  0.00106443,   0.0437813,   0.0388754,  -0.0191755,  0.00484484,   0.0514125,  -0.0410481,  -0.0426442,   0.0135511,   0.0398687,  -0.0243873, -0.00746372,   -0.108396,  0.00651113,   0.0289324,  -0.0478232,   0.0766472,   0.0524919,   0.0269258,  -0.0180005,   0.0368984, -0.00360666,  0.00303935,   0.0229684,  -0.0333702,  0.00164322,  -0.0026118,   0.0314977,  0.00576326,  -0.0106281,   0.0187891,  -0.0189389,   -0.012462,  -0.0245409,    0.050226,  0.00036994,   0.0283921,  -0.0122523,  -0.0261914,   0.0020672,  -0.0350893,   0.0100564,  -0.0152417,  -0.0289747,  -0.0285256,   0.0174135,   0.0299992,  -0.0289054,  -0.0154185,   0.0267343,   0.0110788,  -0.0430328,  0.00885312,  -0.0430054,   0.0180424,   0.0276038,-0.000495976,  -0.0516856,  -0.0120557,  -0.0473594, -0.00570058,   0.0162934,   0.0261337,   0.0116002,  -0.0458154,    0.037315, -0.00486106,  -0.0111507,  0.00973156, -0.00714595,    0.046058,   0.0293005, -0.00296768,     0.01151, -0.00047389, -0.00231071,   0.0319818,   0.0301616,     -0.0171,  -0.0112278,  -0.0434448,  -0.0288758,   0.0152231,  -0.0141414,  -0.0618066,  -0.0593272,   0.0566145,  -0.0198699,   0.0768423,   -0.196972,   0.0833159,    0.132769,  -0.0164574,   0.0146088, -0.00892336,  -0.0925322
RF02913#URS0000D66AA1_12908/1-115#subopt1,   0.0640424,  -0.0209573,    -0.06731,   0.0403795,  -0.0766555,   0.0582664,  -0.0552942,    0.013937,  0.00549406,    -0.11456,   0.0111149,  -0.0202814,   -0.037102,   0.0675094,    0.045337,-0.000138326,  -0.0220199, -0.00286231,   0.0101046,    0.120825,    0.017588,   0.0131512,  -0.0109207,  0.00221388,  -0.0375734,  -0.0527634,   -0.039614,  -0.0837508,  -0.0505277,  -0.0185743,   0.0505163,  0.00462373,   0.0567129,   0.0917222, -0.00284527,   -0.031432,   0.0419463,   0.0544064,  -0.0227669,  -0.0290541,   0.0174581, -0.00620478,  -0.0286574,   0.0756066,   0.0903588,  -0.0396229,  -0.0463137,  -0.0559784,  -0.0512224,     -0.0129,  -0.0231936,   0.0610018,   0.0413709,  0.00698354,   0.0344239,  0.00871525,  -0.0908614,  -0.0399481,   0.0369289,   0.0142266,   0.0397392,  -0.0617541,  0.00803226, -0.00592989,   0.0190308,  -0.0126043,  -0.0146461,  -0.0256583,   0.0556121,   -0.034526,  0.00350087,  -0.0427232,  -0.0122094,   0.0220006,   0.0175203, -0.00987237,  0.00459334,  0.00417712,  -0.0550055,   0.0783536,   0.0395901,  -0.0531341,  -0.0270368,   0.0170654,  -0.0428181,     0.00768,  0.00831125,  -0.0247793,  -0.0494938,   0.0344726,  -0.0144441,  -0.0127992,   0.0298989,  -0.0704263, -0.00586423, -0.00473738,  0.00131655,   -0.018783,    0.014038,   0.0218722,   0.0404765,   0.0474211,   0.0267682,   0.0254549,  0.00208672,   0.0559047,   -0.313097,  -0.0328942,   0.0228659,    0.027647,  -0.0120651,   -0.111678,  -0.0227763,  -0.0244376,   0.0665342,  -0.0195748,  -0.0207445,   0.0155815
RF02913#URS0000D66AA1_12908/1-115#subopt2,   0.0628156,  -0.0186967,  -0.0664933,   0.0415665,  -0.0852716,   0.0588402,  -0.0804306,  -0.0197677,   0.0189964,  -0.0603558,   0.0359265,  -0.0105284,  0.00136416,   0.0350861,     0.10828,   0.0179004,  -0.0747882,  -0.0646753,  -0.0211478,   0.0858087,   0.0956906,   0.0279698,  -0.0298503,   0.0755474,  -0.0393425,  -0.0403606,   -0.017962,  -0.0433589,  -0.0445651,   0.0127006,-0.000927058,   -0.037251,   0.0156419,    0.021938,  -0.0376168,   0.0172433,   0.0014487,  -0.0618443,   0.0311771,   0.0101592,    0.014142,  -0.0332157,  -0.0369336,   0.0241683,   0.0571892,  -0.0117563,   0.0122704,  -0.0602134,   0.0357428,   0.0263828,  -0.0695885, -0.00468241,   0.0153041,   0.0191061,   0.0156104,   0.0498003,   -0.032702,   0.0242527,   0.0199501,   0.0834337,   0.0284493,   -0.080966,   0.0164327,  0.00833973,   0.0590652,   -0.014247,   0.0038148,  -0.0563989,   0.0507917,  -0.0225772,   0.0342793,   -0.053231,  -0.0300032,   0.0338717,  -0.0334589, -0.00813587, -0.00370467, -0.00620667,  -0.0541368,   0.0886026,   0.0511213,  -0.0720461,  -0.0469465,   0.0216222,  -0.0049651,  0.00923401,    0.020143,   0.0273249,   0.0122001,   0.0077068,   0.0192616,  -0.0155516,   0.0249711,  -0.0378022,   0.0135074, -0.00218888,  -0.0452989,  -0.0327221,   0.0392955,   0.0244027, -0.00443728,   0.0154873,  0.00750471,   -0.019918,    0.031995,   0.0840059,    0.804728,  -0.0121464,   0.0417503,   0.0337959,  -0.0102359,   0.0103256,  -0.0170895,  -0.0057606, -0.00103357, -0.00594991,  0.00709052,  0.00460203
RF02913#URS0000D66AA1_12908/1-115#subopt3,  0.0667377, -0.0226386, -0.0629855,  0.0386675, -0.0779603,  0.0581366, -0.0786579, -0.0156051,  0.0286312,  -0.112889,  0.0294115,  -0.021254, -0.0802852,   0.061982,  0.0295506, -0.0155173, -0.0529456, 0.00785834,   0.025901,   0.099921,-0.00571936,  0.0133072, -0.0225854, -0.0205227,-0.00989768, -0.0537048,-0.00483449, -0.0740216,  0.0309268,  0.0176329,-0.00166269, -0.0188934,  0.0232363, 0.00662772,  0.0201157,  0.0091882,  0.0448762, -0.0349626,  -0.035715,  0.0344451,  -0.116875,  0.0373012, -0.0796868,  0.0477893,    0.01736, -0.0589262,  0.0696761, -0.0675874,  0.0613022, -0.0658624,  -0.065418,  0.0345321,  0.0938927, -0.0520886, -0.0287516, -0.0519196, -0.0815291,  -0.043656,  -0.054524,  0.0051727,  -0.026891,-0.00509375, -0.0799483, -0.0542819,  0.0362759,  0.0161364, 0.00923512, -0.0240201,  0.0422115,  0.0112336, -0.0563795,  0.0248994,  0.0214885, -0.0108805,  0.0722403,    0.03331,-0.00804865,  0.0376986,-0.00782664,  0.0152488,  0.0203754, -0.0171592,  0.0345908,  0.0291495,   -0.02157, -0.0282255, 0.00796165, -0.0164282, 0.00293456,  0.0471701, 0.00988236, -0.0230966,  0.0266204,  0.0251712, 0.00237265,   0.011695,  0.0342849, -0.0382503,   0.021581,-0.00643005,  0.0722087,  0.0182138,  0.0261556,   0.033337,-0.00289053, -0.0537574,  -0.146715,  0.0653796, -0.0295054,  0.0136501,-0.00708578,  0.0744385,  0.0077935,  0.0108032, -0.0496854,  0.0821072, -0.0205104,  0.0270893
RF02913#URS0000D66AA1_12908/1-115#subopt4,    0.062958,  -0.0293256,  -0.0741705,   0.0487659,  -0.0694633,   0.0713561,  -0.0269017,   0.0424516,   -0.054794,  -0.0757369,  0.00325352,  -0.0697343,  -0.0453066,    0.106882,  0.00261357,  -0.0116767,   0.0177139,  -0.0538983, -0.00898671,    0.130935,  0.00882764, -0.00204543,   0.0199182,  -0.0061964,  -0.0232423,  -0.0432274, -0.00989758,    0.102489,  -0.0702952,  -0.0634626,   0.0808321,    0.046485,   0.0193586,   0.0244418,   0.0476394,  -0.0294682,  -0.0145863,    0.120313, -0.00345881, -0.00920692,   0.0485705,   0.0231231,   0.0616106,  0.00300381,   0.0267865,   0.0205848, -0.00895839,   0.0404435,  -0.0209291, 0.000620588,  -0.0178389,   0.0212418,  -0.0262685,   0.0139001,  -0.0234935,  -0.0393438,  -0.0131057,   -0.052961,   0.0148982,  -0.0618563,  -0.0293287,   0.0346002,  -0.0292185,  -0.0161391,  -0.0683131,  -0.0821495,   0.0187938, -0.00230205,-0.000544848,  0.00314914, -0.00618793,   0.0317491, -0.00995074,   0.0146178,   0.0110937,   0.0457263, -0.00213272,  -0.0588382,   0.0154452, -0.00240472,  -0.0154674,   0.0120132,   0.0707572,    0.121019,   0.0456297,   0.0120677, -0.00550763,  0.00726273,  -0.0674512,   0.0236067,  -0.0120916,  -0.0184911,  0.00836126,   0.0160776, -0.00309833,   0.0222501,  -0.0274336,  -0.0618091,    0.051489,  -0.0165978,   0.0388902,  -0.0114786,    0.044844,  -0.0469028,  -0.0243369,   0.0241709,   0.0187196,  -0.0988452,   0.0589798,   0.0413047,    0.115603,   0.0265989,   0.0879732,   0.0655306,   -0.075323, -0.00652417,   0.0430171,  -0.0112387
RF02913#URS0000D66AA1_12908/1-115#subopt5,  0.0632066, -0.0254551, -0.0776617,  0.0507318, -0.0845765,  0.0853257, 0.00116869, -0.0186554, -0.0243488, -0.0699644, 0.00472909, -0.0267211, -0.0387651,  0.0569119,  0.0366402, 0.00687009,  0.0387378,-0.00648148,  0.0303001,   0.134463, -0.0173757,  0.0302546, -0.0309882,  0.0263291,  0.0161695, -0.0572641,  0.0142568, -0.0204642, -0.0324055, -0.0679038,  0.0661294,  0.0445964,  0.0227304,  0.0462161,  0.0290376, -0.0122872,  0.0306793,  0.0766965,   0.015657, 0.00157062,  0.0369987,  0.0242908, 0.00227415,  0.0508765,  0.0239322,  0.0109589, -0.0264305,  0.0241977, -0.0533981, -0.0246753,  0.0212741, 0.00412003, 0.00570947,-0.00478074,  0.0021254, -0.0666555, -0.0294604,  0.0120046,  0.0278911, -0.0701493,  0.0168288,  0.0158178,  0.0100484, -0.0105388, -0.0609619, -0.0100414,-0.00418545,  0.0229927,  0.0196616, -0.0181293,  0.0107336,  0.0579517, -0.0048061, -0.0285418, -0.0328673, -0.0144397, 0.00563145,  0.0238385,  0.0320729, 0.00687579, -0.0310809,-0.00898311,  0.0230382, -0.0214296,  0.0196385,-0.00908992, -0.0213056, -0.0447166, -0.0409844,  0.0131386, -0.0144526,  0.0108135, 0.00538001, -0.0349826,  0.0309134,-0.00478472,  0.0432099,  0.0377438,   -0.01481,    0.01962,  0.0249439,  0.0136688,  0.0199507,   0.044167,0.000956705, -0.0209263,  0.0205167, -0.0652446,-0.00431999,  0.0453799, -0.0493686,  0.0482552, -0.0410093, -0.0487234, -0.0662026, -0.0344273,  0.0748547,  0.0923792
RF02913#URS0000D66AA1_12908/1-115#subopt6,   0.0627164,  -0.0237431,  -0.0755628,   0.0527866,  -0.0951482,   0.0800567,  0.00060552,  -0.0326921,  -0.0178255,   -0.052466,   0.0226269,    0.008828, -0.00660192,   0.0151713,   0.0722578,   0.0283113, -0.00119102,  -0.0521571,   0.0579547,   0.0996417,  -0.0205018,   0.0149613, -0.00196386,   0.0412096,   0.0193357,  -0.0548792,  0.00127414,   0.0431506,  -0.0347047,   -0.048283,   0.0224532, -0.00229354,  -0.0236682,-0.000203994,  -0.0325913,   0.0326358,    0.066873,  -0.0355926,  0.00307098,   0.0445926,   0.0335437,   0.0151271,  -0.0198887, -0.00709187,  -0.0178367,  -0.0197993,   0.0397901,   0.0403576,  -0.0036463,  -0.0132599,   0.0641722,  -0.0758485,  -0.0156569, -0.00814648,  -0.0364864,  0.00600804,   0.0207548,   0.0870153,   0.0441789,  -0.0303184,  -0.0234607,  -0.0209296,  0.00465723,  -0.0317003, -0.00511768,  -0.0369787, 0.000431269,  0.00391943, 5.83733e-05, -0.00735614,  -0.0110106,  0.00395179,  -0.0132902,  -0.0340586,  -0.0194566,  -0.0440452, -0.00503903,   0.0094216, -0.00710904, -0.00163361,  -0.0109146,     -0.1018,  0.00135503,   0.0170475, -0.00710529,  -0.0261176,  -0.0382287,  -0.0159355,  -0.0144453,     -0.0225,  -0.0466176,   0.0144124,   -0.011976,  -0.0462443, -0.00897743,    0.032893,  -0.0264764,   0.0407966,    0.034419,    0.038119,  -0.0287536,  0.00102238,  -0.0162633,  0.00260761,   0.0332818,  -0.0165913,    0.034546,   0.0549288, 0.000773704,    0.135078,   0.0238404,    -0.08341,   0.0360539,  0.00396156,   0.0226602,    0.023378,  -0.0119205,   0.0023285
RF02913#URS0000D66AA1_12908/1-115#subopt7,   0.0619798,  -0.0231945,   -0.076845,   0.0519189,  -0.0931928,   0.0858994,  -0.0239678,  -0.0523603,  -0.0108465,  -0.0157609,   0.0295406,  -0.0169682,-0.000298815,   0.0244887,   0.0995833,   0.0249086,  -0.0140304,  -0.0682945,-0.000952152,   0.0994475,   0.0607269,   0.0450733,  -0.0499177,   0.0996629,   0.0144002,  -0.0448613,   0.0359088,   0.0199277,   -0.026443,  -0.0366288,   0.0146859,   0.0027218,  -0.0183406,   -0.023568, -0.00573429,   0.0363879, -0.00981872,  -0.0395543,   0.0696011,   0.0407842,   0.0336826, -0.00272012, -0.00600218,-0.000561048, -0.00923731,   0.0388254,   0.0321534,   0.0199625,   0.0335665,   0.0146078,   -0.025121,  -0.0615646,   -0.020357,  0.00734198,  -0.0166877,  -0.0255698,   0.0286998,   0.0762056,   0.0109123,-0.000942051,   0.0055384, -0.00339475,   0.0184484,  0.00373062,   -0.020928,   -0.011685,   0.0142754, -0.00774831,   0.0148405, -0.00618037,   0.0415124,   0.0474435,  -0.0225998,  -0.0166694,  -0.0838468,  -0.0127027, -0.00266645,   0.0134533,   0.0329414,    0.017124,  -0.0195477,  -0.0278946,  0.00312912,  -0.0168743,   0.0574898, -0.00753735, -0.00947389,  0.00738765,   0.0207097,  -0.0136271,   0.0192531,  0.00806165, 0.000451306, -0.00235951,   0.0502852, -0.00223708, -0.00340483,   0.0238066,   0.0104483,   0.0221503,  -0.0199688,  -0.0182641, 0.000688226, -0.00120181,    0.030867,  0.00717545,   -0.183181,   0.0142451,   0.0531035,   -0.032347,    0.015643,   0.0229598,  0.00468004,   0.0351763,   0.0169889,  -0.0289535,   -0.019156,   0.0064198
RF02913#URS0000D66AA1_12908/1-115#subopt8,    0.061749,  -0.0321065,  -0.0649634,   0.0486455,  -0.0539411,   0.0414692,  -0.0620299,   -0.020866,  0.00393451,  -0.0919533,  -0.0559906,  -0.0450294,   0.0295041,  -0.0164899, -0.00957021,    0.024782,  -0.0440779,  -0.0147777,  -0.0184253,  -0.0631921,   0.0139091,  -0.0258567,   0.0105388, -0.00195658,  -0.0383856,   0.0279028,  -0.0522829,   -0.117237,  -0.0216485,    0.031569,  -0.0148392,  -0.0321551,   0.0387899,   0.0648986,   -0.090021,  -0.0362428,   0.0251455,  -0.0968824,   -0.057393,  -0.0327972,   0.0644833,  -0.0190071,   0.0199243, -0.00321545,   0.0188776,  -0.0284821, 4.01785e-05,  -0.0197742,   0.0722899,   0.0586568,   0.0101706,   0.0886645,   0.0643556,    0.085329,   0.0518311,     0.14856,  -0.0210667,  0.00753133,   -0.111136,  -0.0505173,   0.0187674,      0.1253,    0.114355,  -0.0174177,  -0.0385708,     0.12489,   0.0987515,  -0.0313854,    0.061645,    0.016771,  -0.0361426,  -0.0130163,  -0.0342909,  0.00257823,  0.00985687,  -0.0453164,   0.0227021,  -0.0425309, -0.00244637,   0.0165884,  -0.0238427,   0.0446489,-0.000337387,   -0.041977,  -0.0221635,-0.000871049,   0.0395489,   0.0431353,   0.0164779,  -0.0262844,    -0.11895,  -0.0288574,   0.0104887,   0.0263142,   0.0547069,   -0.018298, -0.00882306,  -0.0330832,  0.00164764,  0.00223419,   0.0420714,   0.0192012,  0.00604636,   0.0131822, -0.00743461,   0.0226034,   0.0220797,  -0.0203451,    0.037674,   0.0481232,   0.0457648,  0.00413945,    0.040466,   0.0960307,   0.0359825,  -0.0146279,  -0.0571456,  -0.0370922
RF02913#URS0000D66AA1_12908/1-115#subopt9,   0.0632099,  -0.0250928,  -0.0712585,   0.0465817,  -0.0559681,   0.0475743,   -0.131742,   0.0392545,  -0.0495083,   -0.107291,  -0.0490952,  -0.0835622,   0.0450315,   0.0567502,  -0.0283398,  0.00788837,   -0.081859,  -0.0625073,  -0.0447145,  -0.0208706,   0.0222425, -0.00594786,   0.0315974,  -0.0611179,  -0.0674381,   0.0159008,  -0.0548336,   0.0616445,   -0.066577,     0.03056,    0.011754,  -0.0230793,   0.0345828,   0.0148951,  -0.0392178,  -0.0488794, -0.00703357,  -0.0145061,  -0.0437913,-0.000482909,  -0.0102537,  -0.0555806,   0.0296165,  -0.0194097,   0.0195323,  -0.0235572,  -0.0141248,  -0.0315665,   0.0305731, -0.00579142, -0.00392553,    0.096322,  -0.0277056,   0.0328828,   0.0368513,    0.152025,   0.0746202,   -0.021423, -0.00648207,   -0.023669,  -0.0847098,   0.0155779,   0.0189255,  -0.0307376,  -0.0126453,  -0.0136091,  -0.0371512,   0.0488774,   0.0048417,   0.0348906,   0.0177759,   0.0331324,  -0.0121668,   0.0797938, 0.000831762, -0.00698818,   0.0318756,  -0.0364043,  0.00175915,   0.0480669,  -0.0433893,   0.0274396,  0.00465264,   0.0370563,   0.0422394,   -0.016633, -0.00660665,   0.0308369,   0.0256897,  0.00304865,  -0.0257687,  -0.0499399, -0.00425174,   0.0272666,  -0.0192183,  -0.0145677,  -0.0434635,  -0.0171619,    0.013339,-0.000186204,   0.0135825,    0.028697,   -0.011748,  -0.0267681,   0.0212147,   0.0526445,    -0.02445,   0.0144605,  0.00727371,   0.0245018,  -0.0464358,   0.0174448,  -0.0118287,  -0.0467673,  -0.0465336,   0.0251187,   0.0146497,   0.0374854
